run_id,model_alias,model_id,instruction_variant,corpus_config,summary_generator,summary_generator_model_id,generator_prompt_variant,MAP@10,MRR@10,NDCG@10,Recall@5,Recall@10,Recall@15,Recall@50,Recall@100,Recall@200,Recall@300,Hit@1,Hit@5,Hit@10,Hit@100,Mean_Rank,Median_Rank,n_queries,error
E5-large-v2__default__conceptual_abstract_fable__gemma4-31B__conceptual_abstract,E5-large-v2,intfloat/e5-large-v2,default,conceptual_abstract_fable,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.193044,0.260255,0.243023,0.252894,0.345659,0.409805,0.55983,0.680215,0.818837,0.881836,0.17515,0.332335,0.429641,0.766467,79.74,17.0,668,
E5-large-v2__default__conceptual_abstract_only__gemma4-31B__conceptual_abstract,E5-large-v2,intfloat/e5-large-v2,default,conceptual_abstract_only,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.125009,0.19307,0.164322,0.167989,0.234531,0.275624,0.448752,0.568912,0.718114,0.79763,0.127246,0.244012,0.326347,0.658683,119.9,37.0,668,
E5-large-v2__default__fable_conceptual_abstract__gemma4-31B__conceptual_abstract,E5-large-v2,intfloat/e5-large-v2,default,fable_conceptual_abstract,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.184374,0.245054,0.231601,0.251198,0.331188,0.384506,0.52772,0.644486,0.783683,0.858957,0.166168,0.317365,0.401198,0.730539,88.77,21.5,668,
E5-large-v2__default__cot_proverb_fable__gemma4-31B__cot_proverb,E5-large-v2,intfloat/e5-large-v2,default,cot_proverb_fable,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.184714,0.235116,0.22953,0.246108,0.326023,0.377969,0.533982,0.636652,0.768014,0.85257,0.151198,0.306886,0.389222,0.732036,90.83,24.5,668,
E5-large-v2__default__cot_proverb_only__gemma4-31B__cot_proverb,E5-large-v2,intfloat/e5-large-v2,default,cot_proverb_only,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.120913,0.173953,0.149249,0.15232,0.194461,0.229142,0.375349,0.477295,0.624551,0.735704,0.13024,0.203593,0.251497,0.573353,149.85,66.0,668,
E5-large-v2__default__fable_cot_proverb__gemma4-31B__cot_proverb,E5-large-v2,intfloat/e5-large-v2,default,fable_cot_proverb,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.172123,0.226376,0.215832,0.239147,0.309057,0.353518,0.496158,0.610729,0.744486,0.821208,0.151198,0.296407,0.377246,0.712575,99.22,29.0,668,
E5-large-v2__default__direct_moral_fable__gemma4-31B__direct_moral,E5-large-v2,intfloat/e5-large-v2,default,direct_moral_fable,gemma4-31B,google/gemma-4-31B-it,direct_moral,0.225512,0.292607,0.274376,0.29773,0.369411,0.416492,0.5752,0.69229,0.826796,0.902819,0.206587,0.375749,0.453593,0.770958,73.32,15.0,668,
E5-large-v2__default__direct_moral_only__gemma4-31B__direct_moral,E5-large-v2,intfloat/e5-large-v2,default,direct_moral_only,gemma4-31B,google/gemma-4-31B-it,direct_moral,0.158843,0.224008,0.195028,0.197405,0.253917,0.304466,0.471732,0.58992,0.730439,0.835604,0.16018,0.270958,0.341317,0.666168,107.56,32.0,668,
E5-large-v2__default__fable_direct_moral__gemma4-31B__direct_moral,E5-large-v2,intfloat/e5-large-v2,default,fable_direct_moral,gemma4-31B,google/gemma-4-31B-it,direct_moral,0.193447,0.249877,0.238799,0.270135,0.333533,0.387275,0.540843,0.651871,0.793189,0.87233,0.163174,0.332335,0.41018,0.744012,84.53,21.0,668,
E5-large-v2__default__fable_proverb__gemma4-31B__proverb,E5-large-v2,intfloat/e5-large-v2,default,fable_proverb,gemma4-31B,google/gemma-4-31B-it,proverb,0.093758,0.127755,0.119226,0.132934,0.178693,0.222505,0.34491,0.480838,0.641742,0.739795,0.073353,0.167665,0.226048,0.576347,143.92,71.5,668,
E5-large-v2__default__proverb_fable__gemma4-31B__proverb,E5-large-v2,intfloat/e5-large-v2,default,proverb_fable,gemma4-31B,google/gemma-4-31B-it,proverb,0.095637,0.128455,0.122823,0.136677,0.188074,0.218413,0.369711,0.509406,0.655888,0.76013,0.071856,0.172156,0.236527,0.606287,133.82,61.5,668,
E5-large-v2__default__proverb_only__gemma4-31B__proverb,E5-large-v2,intfloat/e5-large-v2,default,proverb_only,gemma4-31B,google/gemma-4-31B-it,proverb,0.003527,0.012901,0.006441,0.005739,0.013423,0.020259,0.072505,0.133483,0.273004,0.416118,0.001497,0.007485,0.023952,0.191617,312.74,296.5,668,
E5-large-v2__general__conceptual_abstract_fable__gemma4-31B__conceptual_abstract,E5-large-v2,intfloat/e5-large-v2,general,conceptual_abstract_fable,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.182392,0.249147,0.228571,0.25978,0.317091,0.367565,0.536951,0.642041,0.788498,0.867839,0.161677,0.332335,0.398204,0.729042,88.74,19.5,668,
E5-large-v2__general__conceptual_abstract_only__gemma4-31B__conceptual_abstract,E5-large-v2,intfloat/e5-large-v2,general,conceptual_abstract_only,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.151827,0.224567,0.197125,0.222206,0.277819,0.319461,0.475599,0.598179,0.736427,0.827021,0.148204,0.306886,0.375749,0.679641,109.5,31.0,668,
E5-large-v2__general__fable_conceptual_abstract__gemma4-31B__conceptual_abstract,E5-large-v2,intfloat/e5-large-v2,general,fable_conceptual_abstract,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.176441,0.236934,0.218559,0.249651,0.300998,0.344286,0.507335,0.621133,0.76991,0.857211,0.157186,0.315868,0.372754,0.711078,94.02,26.0,668,
E5-large-v2__general__cot_proverb_fable__gemma4-31B__cot_proverb,E5-large-v2,intfloat/e5-large-v2,general,cot_proverb_fable,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.172258,0.224349,0.218164,0.249651,0.317166,0.363174,0.500175,0.623653,0.740893,0.800549,0.140719,0.312874,0.384731,0.711078,101.9,25.5,668,
E5-large-v2__general__cot_proverb_only__gemma4-31B__cot_proverb,E5-large-v2,intfloat/e5-large-v2,general,cot_proverb_only,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.119424,0.171126,0.155073,0.171133,0.222355,0.248278,0.393862,0.500923,0.661976,0.761252,0.112275,0.22006,0.278443,0.588323,139.53,59.0,668,
E5-large-v2__general__fable_cot_proverb__gemma4-31B__cot_proverb,E5-large-v2,intfloat/e5-large-v2,general,fable_cot_proverb,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.154752,0.204708,0.19798,0.230314,0.292465,0.332735,0.478094,0.587899,0.729466,0.822705,0.128743,0.284431,0.359281,0.688623,106.12,35.0,668,
E5-large-v2__general__direct_moral_fable__gemma4-31B__direct_moral,E5-large-v2,intfloat/e5-large-v2,general,direct_moral_fable,gemma4-31B,google/gemma-4-31B-it,direct_moral,0.203245,0.261953,0.251529,0.261078,0.351522,0.393663,0.550873,0.680314,0.793663,0.876123,0.17515,0.335329,0.441617,0.766467,83.49,17.5,668,
