run_id,model_alias,model_id,instruction_variant,corpus_config,summary_generator,summary_generator_model_id,generator_prompt_variant,MAP@10,MRR@10,NDCG@10,Recall@5,Recall@10,Recall@15,Recall@50,Recall@100,Recall@200,Recall@300,Hit@1,Hit@5,Hit@10,Hit@100,Mean_Rank,Median_Rank,n_queries,error
Linq-Embed-Mistral__general__fable_direct_moral__gemini__direct_moral,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,fable_direct_moral,gemini,gemini-3-flash-preview,direct_moral,0.343812,0.415446,0.41159,0.467839,0.553917,0.613348,0.757136,0.845509,0.915619,0.953119,0.300898,0.552395,0.646707,0.899701,36.55,4.0,668,
Linq-Embed-Mistral__general__direct_moral_only__gemini__direct_moral,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,direct_moral_only,gemini,gemini-3-flash-preview,direct_moral,0.335575,0.406394,0.399587,0.416118,0.530963,0.583433,0.70524,0.783882,0.870284,0.920409,0.302395,0.502994,0.621257,0.835329,54.41,5.0,668,
Linq-Embed-Mistral__general__direct_moral_fable__gemini__direct_moral,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,direct_moral_fable,gemini,gemini-3-flash-preview,direct_moral,0.342837,0.407755,0.408527,0.453343,0.550175,0.600274,0.76759,0.841492,0.915594,0.948328,0.296407,0.535928,0.640719,0.89521,36.4,5.0,668,
Linq-Embed-Mistral__general__fable_cot_proverb__gemini__cot_proverb,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,fable_cot_proverb,gemini,gemini-3-flash-preview,cot_proverb,0.354144,0.421446,0.419781,0.452745,0.559057,0.604915,0.768762,0.838797,0.925873,0.957111,0.312874,0.538922,0.637725,0.890719,37.04,4.0,668,
Linq-Embed-Mistral__general__cot_proverb_only__gemini__cot_proverb,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,cot_proverb_only,gemini,gemini-3-flash-preview,cot_proverb,0.307103,0.37137,0.361688,0.381961,0.468638,0.508957,0.658159,0.727121,0.845359,0.904092,0.284431,0.456587,0.54491,0.778443,67.87,7.0,668,
Linq-Embed-Mistral__general__cot_proverb_fable__gemini__cot_proverb,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,cot_proverb_fable,gemini,gemini-3-flash-preview,cot_proverb,0.345468,0.411621,0.410331,0.452695,0.549401,0.603268,0.766766,0.84022,0.918239,0.955015,0.302395,0.534431,0.628743,0.889222,37.59,4.5,668,
Linq-Embed-Mistral__general__fable_conceptual_abstract__gemini__conceptual_abstract,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,fable_conceptual_abstract,gemini,gemini-3-flash-preview,conceptual_abstract,0.343854,0.410686,0.411658,0.453244,0.563124,0.617241,0.769311,0.848278,0.919436,0.953967,0.296407,0.541916,0.649701,0.902695,36.1,4.0,668,
Linq-Embed-Mistral__general__conceptual_abstract_only__gemini__conceptual_abstract,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,conceptual_abstract_only,gemini,gemini-3-flash-preview,conceptual_abstract,0.350066,0.424191,0.409673,0.433857,0.528543,0.576248,0.71986,0.806088,0.878693,0.919686,0.33982,0.516467,0.606287,0.856287,50.3,5.0,668,
Linq-Embed-Mistral__general__conceptual_abstract_fable__gemini__conceptual_abstract,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,conceptual_abstract_fable,gemini,gemini-3-flash-preview,conceptual_abstract,0.3459,0.408912,0.41446,0.459057,0.571183,0.624351,0.771557,0.848229,0.924077,0.95494,0.29491,0.540419,0.652695,0.901198,34.79,4.0,668,
Linq-Embed-Mistral__general__fable_proverb__gemini__proverb,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,fable_proverb,gemini,gemini-3-flash-preview,proverb,0.346207,0.414828,0.413046,0.454616,0.553743,0.594736,0.771806,0.838124,0.909506,0.948927,0.303892,0.541916,0.636228,0.889222,39.35,4.0,668,
Linq-Embed-Mistral__general__proverb_only__gemini__proverb,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,proverb_only,gemini,gemini-3-flash-preview,proverb,0.276963,0.337365,0.327806,0.351647,0.426098,0.476622,0.639546,0.736477,0.845384,0.891866,0.25,0.429641,0.495509,0.785928,71.72,11.0,668,
Linq-Embed-Mistral__general__proverb_fable__gemini__proverb,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,proverb_fable,gemini,gemini-3-flash-preview,proverb,0.3349,0.397983,0.401119,0.458134,0.543438,0.596357,0.76749,0.838797,0.909905,0.95232,0.27994,0.540419,0.628743,0.890719,38.49,4.0,668,
Qwen3-Embedding-8B__general__fable_direct_moral__gemini__direct_moral,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,general,fable_direct_moral,gemini,gemini-3-flash-preview,direct_moral,0.325295,0.393782,0.389568,0.419012,0.527794,0.582685,0.748403,0.83231,0.911452,0.947979,0.284431,0.502994,0.613772,0.890719,37.8,5.0,668,
Qwen3-Embedding-8B__general__direct_moral_only__gemini__direct_moral,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,general,direct_moral_only,gemini,gemini-3-flash-preview,direct_moral,0.335157,0.403966,0.398338,0.43488,0.52757,0.561702,0.717141,0.80237,0.890843,0.934207,0.300898,0.519461,0.612275,0.848802,50.28,5.0,668,
Qwen3-Embedding-8B__general__direct_moral_fable__gemini__direct_moral,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,general,direct_moral_fable,gemini,gemini-3-flash-preview,direct_moral,0.359913,0.42756,0.425573,0.473777,0.565444,0.610454,0.775873,0.857535,0.917839,0.951347,0.312874,0.555389,0.64521,0.904192,34.64,4.0,668,
Qwen3-Embedding-8B__general__fable_cot_proverb__gemini__cot_proverb,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,general,fable_cot_proverb,gemini,gemini-3-flash-preview,cot_proverb,0.323873,0.391936,0.38921,0.427071,0.528743,0.582385,0.761776,0.834731,0.904266,0.958258,0.27994,0.510479,0.622754,0.884731,38.07,5.0,668,
Qwen3-Embedding-8B__general__cot_proverb_only__gemini__cot_proverb,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,general,cot_proverb_only,gemini,gemini-3-flash-preview,cot_proverb,0.293709,0.353792,0.347749,0.389197,0.456487,0.516891,0.666317,0.765719,0.835279,0.902545,0.258982,0.458084,0.519461,0.812874,70.32,8.5,668,
Qwen3-Embedding-8B__general__cot_proverb_fable__gemini__cot_proverb,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,general,cot_proverb_fable,gemini,gemini-3-flash-preview,cot_proverb,0.359952,0.42339,0.422968,0.460429,0.55494,0.604815,0.76986,0.84486,0.912475,0.949077,0.317365,0.543413,0.642216,0.892216,36.98,4.0,668,
Qwen3-Embedding-8B__general__fable_conceptual_abstract__gemini__conceptual_abstract,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,general,fable_conceptual_abstract,gemini,gemini-3-flash-preview,conceptual_abstract,0.33887,0.412163,0.402692,0.448852,0.533807,0.594261,0.757834,0.849726,0.923827,0.957211,0.300898,0.541916,0.63024,0.904192,34.32,5.0,668,
Qwen3-Embedding-8B__general__conceptual_abstract_only__gemini__conceptual_abstract,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,general,conceptual_abstract_only,gemini,gemini-3-flash-preview,conceptual_abstract,0.353208,0.416887,0.412435,0.445958,0.535778,0.584157,0.725399,0.81991,0.89763,0.941193,0.314371,0.526946,0.606287,0.863772,46.6,4.0,668,
