run_id,model_alias,model_id,instruction_variant,corpus_config,summary_generator,summary_generator_model_id,generator_prompt_variant,MAP@10,MRR@10,NDCG@10,Recall@5,Recall@10,Recall@15,Recall@50,Recall@100,Recall@200,Recall@300,Hit@1,Hit@5,Hit@10,Hit@100,Mean_Rank,Median_Rank,n_queries,error
Qwen3-Embedding-8B__moral_specific__conceptual_abstract_fable__gemma4-31B__conceptual_abstract,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,moral_specific,conceptual_abstract_fable,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.22559,0.307915,0.282315,0.301821,0.383184,0.443363,0.62767,0.743962,0.842465,0.898852,0.217066,0.401198,0.486527,0.803892,72.0,11.0,668,
Qwen3-Embedding-8B__moral_specific__conceptual_abstract_only__gemma4-31B__conceptual_abstract,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,moral_specific,conceptual_abstract_only,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.187729,0.264056,0.240416,0.260953,0.335953,0.372929,0.544012,0.64496,0.771257,0.849651,0.17515,0.360778,0.429641,0.714072,100.08,19.0,668,
Qwen3-Embedding-8B__moral_specific__fable_conceptual_abstract__gemma4-31B__conceptual_abstract,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,moral_specific,fable_conceptual_abstract,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.226909,0.301258,0.282186,0.300599,0.38518,0.430339,0.625075,0.733658,0.8376,0.896582,0.209581,0.39521,0.479042,0.791916,72.14,13.0,668,
Qwen3-Embedding-8B__moral_specific__cot_proverb_fable__gemma4-31B__cot_proverb,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,moral_specific,cot_proverb_fable,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.215426,0.284315,0.27108,0.305838,0.379291,0.419885,0.609182,0.708283,0.829067,0.899975,0.187126,0.389222,0.462575,0.775449,73.36,15.0,668,
Qwen3-Embedding-8B__moral_specific__cot_proverb_only__gemma4-31B__cot_proverb,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,moral_specific,cot_proverb_only,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.156195,0.200389,0.196664,0.223852,0.280065,0.333209,0.461851,0.57727,0.712475,0.807934,0.124251,0.272455,0.338323,0.646707,121.56,38.5,668,
Qwen3-Embedding-8B__moral_specific__fable_cot_proverb__gemma4-31B__cot_proverb,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,moral_specific,fable_cot_proverb,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.214464,0.277057,0.267282,0.284656,0.373553,0.417465,0.599651,0.712026,0.828743,0.887974,0.185629,0.360778,0.453593,0.770958,76.38,15.5,668,
Qwen3-Embedding-8B__moral_specific__direct_moral_fable__gemma4-31B__direct_moral,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,moral_specific,direct_moral_fable,gemma4-31B,google/gemma-4-31B-it,direct_moral,0.229883,0.31078,0.289052,0.314247,0.401297,0.463224,0.647879,0.742914,0.841467,0.91517,0.215569,0.405689,0.491018,0.799401,68.16,11.0,668,
Qwen3-Embedding-8B__moral_specific__direct_moral_only__gemma4-31B__direct_moral,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,moral_specific,direct_moral_only,gemma4-31B,google/gemma-4-31B-it,direct_moral,0.226474,0.307702,0.280194,0.296831,0.375449,0.43004,0.581786,0.685005,0.812799,0.882211,0.224551,0.393713,0.465569,0.745509,86.33,14.0,668,
Qwen3-Embedding-8B__moral_specific__fable_direct_moral__gemma4-31B__direct_moral,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,moral_specific,fable_direct_moral,gemma4-31B,google/gemma-4-31B-it,direct_moral,0.225986,0.299802,0.278884,0.303917,0.377345,0.445659,0.621732,0.743987,0.849326,0.904316,0.212575,0.39521,0.464072,0.800898,70.87,13.0,668,
Qwen3-Embedding-8B__moral_specific__fable_proverb__gemma4-31B__proverb,Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,moral_specific,fable_proverb,gemma4-31B,google/gemma-4-31B-it,proverb,0.168817,0.233284,0.21905,0.24768,0.31981,0.362924,0.535828,0.662201,0.79491,0.860055,0.143713,0.327844,0.414671,0.736527,91.22,21.0,668,
