model_alias,model_id,experiment_id,run_id,status,training_data,n_train,train_doc_mode,eval_doc_mode,corpus_config,summary_generator,summary_prompt_variant,folds,epochs,batch_size,gradient_accumulation_steps,learning_rate,temperature,max_seq_length,lora_r,lora_alpha,lora_dropout,fn_mask_threshold,hard_negative_config,query_instruction_variant_original,query_instruction_text,old_eval_n,old_mrr_at_10,old_r_at_1,old_r_at_5,old_r_at_10,artifact_available,can_recalculate_from_artifact,needs_eval_rerun,needs_cluster_aware_retrain,needs_training_rerun,next_action,notes,source_file
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_00,baseline_before_overfit,completed,MORABLES same-data sanity,709,raw,raw,raw,,,none,30,64,1,2e-05,,,,,,,,no_instr,,709,0.063400,0.031030,0.081805,0.112835,model_and_embeddings_local,yes_diagnostic,no,no,no,Do not use as benchmark; sanity only.,Baseline before intentional overfit sanity check.,finetuning/ft_00_overfit/results/2026-04-06_12-43-03_raw.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_00,trained_overfit_same_709,completed,MORABLES same-data sanity,709,raw,raw,raw,,,none,30,64,1,2e-05,,,,,,,,no_instr,,709,0.973554,0.949224,1.000000,1.000000,model_and_embeddings_local,yes_diagnostic,no,no,no,Do not use as benchmark; sanity only.,Intentional same-data overfit sanity check; not a valid benchmark result.,finetuning/ft_00_overfit/results/2026-04-06_12-43-03_raw.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_01,2026-04-06_14-25-34_raw_all_folds,completed,MORABLES,709,raw,raw,raw,,,5,30,32,1,2e-05,,,,,,,,no_instr,,709,0.122500,0.067701,0.157969,0.221439,fold_models_and_embeddings_local,partial_old_folds_only,yes,yes,yes_for_official_clustered_cv,Use as BGE control only if we rerun cluster-aware folds.,,finetuning/ft_01_5fold_cv/results/2026-04-06_14-25-34_raw_all_folds.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_05,ratio_0_fold0,completed_fold0,MORABLES+STORAL_0,fold_train_plus_0,fable_plus_summary,fable_plus_summary,fable_plus_summary,,,1,15,32,1,2e-05,0.05,,,,,,,no_instr,,fold0,0.277371,,,,fold0_model_and_embeddings_local,partial_fold0_only,yes,yes_if_kept,yes_for_full_cv,Superseded by FT07 unless BGE mixing control is needed.,STORAL ratio sweep; fold0 only.,finetuning/ft_05_mixing_ratio/results/2026-04-24_12-24-34_mixing_ratio_fold0.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_05,ratio_1000_fold0,completed_fold0,MORABLES+STORAL_1000,fold_train_plus_1000,fable_plus_summary,fable_plus_summary,fable_plus_summary,,,1,15,32,1,2e-05,0.05,,,,,,,no_instr,,fold0,0.273979,,,,fold0_model_and_embeddings_local,partial_fold0_only,yes,yes_if_kept,yes_for_full_cv,Superseded by FT07 unless BGE mixing control is needed.,STORAL ratio sweep; fold0 only.,finetuning/ft_05_mixing_ratio/results/2026-04-24_12-24-34_mixing_ratio_fold0.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_05,ratio_1675_fold0,completed_fold0,MORABLES+STORAL_1675,fold_train_plus_1675,fable_plus_summary,fable_plus_summary,fable_plus_summary,,,1,15,32,1,2e-05,0.05,,,,,,,no_instr,,fold0,0.273961,,,,fold0_model_and_embeddings_local,partial_fold0_only,yes,yes_if_kept,yes_for_full_cv,Superseded by FT07 unless BGE mixing control is needed.,STORAL ratio sweep; fold0 only.,finetuning/ft_05_mixing_ratio/results/2026-04-24_12-24-34_mixing_ratio_fold0.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_05,ratio_200_fold0,completed_fold0,MORABLES+STORAL_200,fold_train_plus_200,fable_plus_summary,fable_plus_summary,fable_plus_summary,,,1,15,32,1,2e-05,0.05,,,,,,,no_instr,,fold0,0.287210,,,,fold0_model_and_embeddings_local,partial_fold0_only,yes,yes_if_kept,yes_for_full_cv,Superseded by FT07 unless BGE mixing control is needed.,STORAL ratio sweep; fold0 only.,finetuning/ft_05_mixing_ratio/results/2026-04-24_12-24-34_mixing_ratio_fold0.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_05,ratio_500_fold0,completed_fold0,MORABLES+STORAL_500,fold_train_plus_500,fable_plus_summary,fable_plus_summary,fable_plus_summary,,,1,15,32,1,2e-05,0.05,,,,,,,no_instr,,fold0,0.277694,,,,fold0_model_and_embeddings_local,partial_fold0_only,yes,yes_if_kept,yes_for_full_cv,Superseded by FT07 unless BGE mixing control is needed.,STORAL ratio sweep; fold0 only.,finetuning/ft_05_mixing_ratio/results/2026-04-24_12-24-34_mixing_ratio_fold0.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_07,2026-04-29_09-49-00_bge_s1000__fable_plus_summary,completed,STORAL_s1000,1000,STORAL_stories,fable_plus_summary,fable_plus_summary,,,none_external_transfer,10,32,1,2e-05,0.05,512,,,,,,no_instr,,709,0.255840,0.166432,0.354020,0.431594,result_json_only,no,yes,no,no_if_weights_available,Prioritize Linq s500 and Qwen3 sfull/s500 for clustered external-transfer eval.,"length_range=[30, 300]; external STORAL transfer.",finetuning/ft_07_storal_transfer/results/2026-04-29_09-49-00_bge_s1000.json
BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,ft_07,2026-04-29_09-49-00_bge_s1000__raw,completed,STORAL_s1000,1000,STORAL_stories,raw,raw,,,none_external_transfer,10,32,1,2e-05,0.05,512,,,,,,no_instr,,709,0.145982,0.086037,0.187588,0.252468,result_json_only,no,yes,no,no_if_weights_available,Prioritize Linq s500 and Qwen3 sfull/s500 for clustered external-transfer eval.,"length_range=[30, 300]; external STORAL transfer.",finetuning/ft_07_storal_transfer/results/2026-04-29_09-49-00_bge_s1000.json
