similarity,tier,moral_a,fable_a_id,fable_a_title,moral_b,fable_b_id,fable_b_title
1.0000,extreme,Be careful what you wish for.,fable_0278,The Poor Man And Death,Be careful what you wish for.,fable_0617,The Eyes and the Honey
1.0000,extreme,There's a time for work and a time for play.,fable_0002,The Ant and the Grasshopper,There's a time for work and a time for play.,fable_0148,The Ant And The Dung Beetle
1.0000,extreme,Greed often overreaches itself.,fable_0050,The Goose With the Golden Eggs,Greed often overreaches itself.,fable_0616,The Mouse and the Oyster
1.0000,extreme,Self-help is the best help.,fable_0059,Hercules and the Wagoner,Self-help is the best help.,fable_0066,The Lark and Her Young Ones
1.0000,extreme,A little thing in hand is worth more than a great thing in prospect.,fable_0036,The Fisher and the Little Fish,A little thing in hand is worth more than a great thing in prospect.,fable_0564,The Fisherman and The Little Fish
1.0000,extreme,Flatters are not to be trusted.,fable_0043,The Fox And The Raven,Flatters are not to be trusted.,fable_0620,The Fox and the Ground-Bird
1.0000,extreme,Look before you leap.,fable_0045,The Fox and the Goat,Look before you leap.,fable_0242,The Fox And The Goat In The Well
1.0000,extreme,An invitation prompted by selfishness is not to be accepted.,fable_0113,The Wolf and the Goat,An invitation prompted by selfishness is not to be accepted.,fable_0180,The Wolf And The Goat On The Cliff
1.0000,extreme,Some things you cannot change.,fable_0120,The Aethiop,Some things you cannot change.,fable_0158,The Black Man In The River
1.0000,extreme,Those who adapt to the times will emerge unscathed.,fable_0522,The Oak Tree And The Reed,Those who adapt to the times will emerge unscathed.,fable_0708,The Elm and the Willow
1.0000,extreme,Every tale is not to be believed.,fable_0537,The Thief And The Innkeeper,Every tale is not to be believed.,fable_0621,The Thief and The Boy
1.0000,extreme,It is useless attacking the insensible.,fable_0092,The Serpent and the File,It is useless attacking the insensible.,fable_0245,The Viper And The File
1.0000,extreme,Do not mock the gods.,fable_0156,The Man And The Oracle,Do not mock the gods.,fable_0223,The Sick Man And The Gods
1.0000,extreme,There is no wealth greater than liberty.,fable_0505,"The Wolf, The Dog And The Collar",There is no wealth greater than liberty.,fable_0658,A Goldfinch and a Boy
1.0000,extreme,He that is neither one thing nor the other has no friends.,fable_0013,"The Bat, the Birds and the Beasts",He that is neither one thing nor the other has no friends.,fable_0190,The War Between The Beasts And The Birds
1.0000,extreme,One good turn deserves another.,fable_0091,The Serpent and the Eagle,One good turn deserves another.,fable_0151,"The Ant, The Pigeon And The Bird-Catcher"
1.0000,extreme,Beware of when the powerful and the deceitful collaborate.,fable_0236,"The Night-Owl, The Cat And The Mouse",Beware of when the powerful and the deceitful collaborate.,fable_0274,The Eagle And The Crow
1.0000,extreme,Nature reveals itself.,fable_0023,The Cat-Maiden,Nature reveals itself.,fable_0024,The Cat and Venus
1.0000,extreme,"Destroy the seed of evil, or it will grow up to your ruin.",fable_0098,The Swallow and the Other Birds,"Destroy the seed of evil, or it will grow up to your ruin.",fable_0611,The Owl and The Birds
1.0000,extreme,Everyone is more or less master of his own fate.,fable_0103,The Traveler and Fortune,Everyone is more or less master of his own fate.,fable_0568,The Ploughman and Fortune
1.0000,extreme,Be content with your lot.,fable_0691,A Pike sets up for Sovereignty,Be content with your lot.,fable_0696,About the hare seeking cunning and the fox seeking swiftness from Jupiter
1.0000,extreme,He laughs best that laughs last.,fable_0057,The Heifer and the Ox,He laughs best that laughs last.,fable_0498,The Bull And The Bullock
1.0000,extreme,Appearances can be deceiving.,fable_0445,The Mice And The Weasel,Appearances can be deceiving.,fable_0697,A Plain Horse wins the Prize
1.0000,extreme,Be yourself and don't pretend to be someone you're not.,fable_0485,The Lion And The Horse,Be yourself and don't pretend to be someone you're not.,fable_0507,The Wolf And The Lame Donkey
1.0000,extreme,Appearances are deceptive.,fable_0001,The Ant and the Chrysalis,Appearances are deceptive.,fable_0117,The Wolf in Sheep's Clothing
1.0000,extreme,Be content with your lot; one cannot be first in everything.,fable_0085,The Peacock and Juno,Be content with your lot; one cannot be first in everything.,fable_0270,Juno And The Peacock
1.0000,extreme,A life of greed and hoarding wealth leads to misery.,fable_0333,The Fox And The Dragon,A life of greed and hoarding wealth leads to misery.,fable_0707,A Miser and his Bags
0.9948,extreme,Wit has always an answer ready.,fable_0009,The Ass's Brains,Wit always has an answer ready.,fable_0071,The Lost Wig
0.9887,extreme,Enemies' promises are made to be broken.,fable_0080,The Mother and the Wolf,Enemies' promises were made to be broken.,fable_0082,The Nurse and the Wolf
0.9843,extreme,Nothing escapes the master's eye,fable_0055,The Hart in the Ox-Stall,Nothing escapes the master's eye.,fable_0348,The Stag Among The Cattle
0.9826,extreme,True friends are hard to find.,fable_0173,Socrates And His Friends,True friends are hard to come by.,fable_0694,A Man had a mind to try his Friends
0.9771,extreme,There is always someone worse off than yourself.,fable_0052,The Hares and the Frogs,There is always someone else worse off than you.,fable_0122,The Lion And The Elephant
0.9728,extreme,Union is strength.,fable_0038,The Four Oxen and the Lion,Union gives strength.,fable_0511,The Old Man And His Sons
0.9716,extreme,Quality is better than quantity.,fable_0111,The Vixen and the Lioness,Quality is more valuable than quantity.,fable_0377,The Sow And The Lioness
0.9695,extreme,"People are to be judged by their actions, not by their appearance.",fable_0677,A Cat and Mice,"People should not be judged by their appearances, but by their actions.",fable_0685,A Wolfe in a Sheeps-Skin
0.9667,extreme,Flatters are not to be trusted.,fable_0043,The Fox And The Raven,Do not trust flatterers.,fable_0044,The Fox and the Crow
0.9642,extreme,Do not attempt the impossible.,fable_0183,The Frog And The Ox,Do not try to do impossible things.,fable_0292,The Wolves And The Hides
0.9612,extreme,Be careful what you wish for.,fable_0278,The Poor Man And Death,Be careful what you wish for; your wish may be granted.,fable_0431,The Shepherd And The Lion
0.9574,extreme,Don't take your friends for foes.,fable_0194,The Bees And The Beekeeper,Do not give up friends for foes.,fable_0312,"The Wolves, The Sheep And The Dogs"
0.9574,extreme,Appearances are deceptive.,fable_0001,The Ant and the Chrysalis,Appearances can be deceiving.,fable_0445,The Mice And The Weasel
0.9566,extreme,"Fine clothes may disguise, but silly words will disclose a fool.",fable_0008,The Ass in the Lion's Skin,"Clothes may disguise a fool, but his words will give him away.",fable_0316,"The Fox, The Donkey And The Lion Skin"
0.9510,extreme,Flatters are not to be trusted.,fable_0043,The Fox And The Raven,Flatterers and deceivers are not to be trusted.,fable_0597,"The Wolf, the Fox and the Gift"
0.9474,high,People often grasp for more than they need and thus lose the little they have.,fable_0181,The Man And The Golden Eggs,People who grasp for more than they need are deprived of what they have.,fable_0235,Zeus And The Camel
0.9461,high,Do not grasp at more than you need.,fable_0298,"The Dog, The Meat And The Reflection",Do not try to grasp too much at once.,fable_0347,The Kite And The Partridges
0.9444,high,People often grasp for more than they need and thus lose the little they have.,fable_0181,The Man And The Golden Eggs,People who grasp at more than they need lose the little that they held in their hands.,fable_0404,The Widow And Her Hen
0.9438,high,"You must not act unnaturally, trying to achieve some impossible thing.",fable_0264,The Donkey And The Cricket,Do not try to do impossible things.,fable_0292,The Wolves And The Hides
0.9397,high,Do not trust flatterers.,fable_0044,The Fox and the Crow,Flatterers and deceivers are not to be trusted.,fable_0597,"The Wolf, the Fox and the Gift"
0.9338,high,"No act of kindness, no matter how small, is ever wasted",fable_0430,The Lion And The Mouse,Kindness is never wasted.,fable_0560,The Magic Colours
0.9308,high,There is no wealth greater than liberty.,fable_0505,"The Wolf, The Dog And The Collar",There is nothing more valuable than liberty.,fable_0547,The Dog and the Wolf
0.9298,high,Do not take on more than you can handle.,fable_0350,The Lion And The Farmer,Don't take on more than you can accomplish.,fable_0508,The Jackdaw And The Eagle
0.9292,high,Someone who lays a trap for others will fall victim to it himself.,fable_0204,The Bird Catcher And The Partridge,Someone who plots against others falls into his own trap.,fable_0386,"The Wolf, The Fox And The Ailing Lion"
0.9283,high,Someone who lays a trap for others will fall victim to it himself.,fable_0204,The Bird Catcher And The Partridge,People who lay traps for others should be careful not to fall into a trap themselves.,fable_0205,"The Nightingale, The Hawk And The Bird Catcher"
0.9257,high,Don't promise big things if you can't deliver.,fable_0413,The Mountain In Labour,Don't promise more than you can deliver.,fable_0662,A Hunts-man and a Currier
0.9252,high,Do not attempt too much at once.,fable_0019,The Boy and the Filberts,Do not try to grasp too much at once.,fable_0347,The Kite And The Partridges
0.9244,high,"In avoiding a lesser danger, one may inadvertently fall into a greater peril.",fable_0281,The Deer And The Lion,"When we are avoiding present dangers, we should not fall into even worse peril.",fable_0640,The Fishes and the Frying-Pan
0.9244,high,Do not blame others for the circumstances of their upbringing.,fable_0311,The Hunting Dog And The Watch Dog,Do not blame others.,fable_0468,The Rivers And The Sea
