model,category,api name,type,Params,Hugging Face link,Paper link,Instruction format,instruct type
Linq-Embed-Mistral,Instruction IR,Linq-AI-Research/Linq-Embed-Mistral,m-LLM-Embedder,7B,https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral,https://arxiv.org/abs/2412.03223,f'Instruct: {task_description}\nQuery:{query}',inline
Qwen3-Embedding-8B,Instruction IR,Qwen/Qwen3-Embedding-8B,m-LLM-Embedder,8B,https://huggingface.co/Qwen/Qwen3-Embedding-8B,https://arxiv.org/abs/2506.05176,f'Instruct: {task_description}\nQuery:{query}',inline
Qwen3-Embedding-4B,Instruction IR,Qwen/Qwen3-Embedding-4B,m-LLM-Embedder,4B,https://huggingface.co/Qwen/Qwen3-Embedding-4B,https://arxiv.org/abs/2506.05176,f'Instruct: {task_description}\nQuery:{query}',inline
Qwen3-Embedding-0.6B,Instruction IR,Qwen/Qwen3-Embedding-0.6B,m-LLM-Embedder,0.6B,https://huggingface.co/Qwen/Qwen3-Embedding-0.6B,https://arxiv.org/abs/2506.05176,f'Instruct: {task_description}\nQuery:{query}',inline
GTE-Qwen2-7B,Instruction IR,Alibaba-NLP/gte-Qwen2-7B-instruct,m-LLM-Embedder,7B,https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct,https://arxiv.org/abs/2308.03281,f'Instruct: {task_description}\nQuery: {query}',inline
GTE-Qwen2-1.5B,Instruction IR,Alibaba-NLP/gte-Qwen2-1.5B-instruct,m-LLM-Embedder,1.54B,https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct,https://arxiv.org/abs/2308.03281,f'Instruct: {task_description}\nQuery: {query}',inline
BGE-en-ICL,Instruction IR,BAAI/bge-en-icl,LLM-Embedder,7B,https://huggingface.co/BAAI/bge-en-icl,https://arxiv.org/abs/2409.15700,"Given a moral statement, retrieve the fable that best conveys this moral.\n",inline
BGE-M3,Instruction IR,BAAI/bge-m3,Encoder-based,0.56B,https://huggingface.co/BAAI/bge-m3,https://aclanthology.org/2024.findings-acl.137/,No required format; encode normally.,base
BGE-large-en-v1.5,Instruction IR,BAAI/bge-large-en-v1.5,Encoder-based,335M,https://huggingface.co/BAAI/bge-large-en-v1.5,https://arxiv.org/abs/2309.07597,Represent this sentence for searching relevant passages: {query},base
BGE-base-en-v1.5,Instruction IR,BAAI/bge-base-en-v1.5,Encoder-based,109M,https://huggingface.co/BAAI/bge-base-en-v1.5,https://arxiv.org/abs/2309.07597,Represent this sentence for searching relevant passages: {query},base
E5-mistral-7b,Instruction IR,intfloat/e5-mistral-7b-instruct,LLM-Embedder,7B,https://huggingface.co/intfloat/e5-mistral-7b-instruct,https://arxiv.org/abs/2401.00368,f'Instruct: {task_description}\nQuery: {query}',inline
E5-large-v2,No-instruction IR,intfloat/e5-large-v2,Encoder-based,335M,https://huggingface.co/intfloat/e5-large-v2,https://arxiv.org/abs/2212.03533,query: {query}; passage: {document},prefix
E5-base-v2,No-instruction IR,intfloat/e5-base-v2,Encoder-based,110M,https://huggingface.co/intfloat/e5-base-v2,https://arxiv.org/abs/2212.03533,query: {query}; passage: {document},prefix
Multilingual-E5-large-instruct,Instruction IR,intfloat/multilingual-e5-large-instruct,Encoder-based,0.6B,https://huggingface.co/intfloat/multilingual-e5-large-instruct,https://arxiv.org/abs/2402.05672,f'Instruct: {task_description}\nQuery: {query}',inline
Multilingual-E5-large,No-instruction IR,intfloat/multilingual-e5-large,Encoder-based,0.6B,https://huggingface.co/intfloat/multilingual-e5-large,https://arxiv.org/abs/2402.05672,query: {query}; passage: {document},prefix
Instructor-xl,Instruction IR,hkunlp/instructor-xl,Encoder-based,1.5B,https://huggingface.co/hkunlp/instructor-xl,https://arxiv.org/abs/2212.09741,"[instruction, text] pair format",encode
Instructor-base,Instruction IR,hkunlp/instructor-base,Encoder-based,110M,https://huggingface.co/hkunlp/instructor-base,https://arxiv.org/abs/2212.09741,"[instruction, text] pair format",encode
Nomic-Embed-v2-MoE,Instruction IR,nomic-ai/nomic-embed-text-v2-moe,Encoder-based,0.5B,https://huggingface.co/nomic-ai/nomic-embed-text-v2-moe,https://arxiv.org/abs/2502.07972,search_query: {query}; search_document: {document},bge_multi
NV-Embed-v2,Instruction IR,nvidia/NV-Embed-v2,English-LLM-Embedder,8.85B,https://huggingface.co/nvidia/NV-Embed-v2,https://arxiv.org/abs/2405.17428,f'Instruct: {task_description}\nQuery:{query}',inline
Llama-Embed-Nemotron-8B,Instruction IR,nvidia/llama-embed-nemotron-8b,m-LLM-Embedder,8B,https://huggingface.co/nvidia/llama-embed-nemotron-8b,https://arxiv.org/abs/2511.07025,f'Instruct: {task_description}\nQuery:{query}',inline
GritLM-7B,Instruction IR,GritLM/GritLM-7B,m-LLM-Embedder,7B,https://huggingface.co/GritLM/GritLM-7B,https://arxiv.org/abs/2402.09906,<|user|>\n{instruction}\n<|embed|>\n{text},wrapper
EmbeddingGemma-300M,Instruction IR,google/embeddinggemma-300m,Encoder-based,0.3B,https://huggingface.co/google/embeddinggemma-300m,https://arxiv.org/abs/2509.20354,model default instruction/prefix,base
KaLM-Gemma3-12B,Instruction IR,tencent/KaLM-Embedding-Gemma3-12B-2511,m-LLM-Embedder,12B,https://huggingface.co/tencent/KaLM-Embedding-Gemma3-12B-2511,https://arxiv.org/abs/2501.01028,model default instruction/prefix,base
SFR-Embedding-Mistral,Instruction IR,Salesforce/SFR-Embedding-Mistral,Encoder-based,7B,https://huggingface.co/Salesforce/SFR-Embedding-Mistral,,f'Instruct: {task_description}\nQuery: {query}',inline
