model_alias,model_id,instruction_variant,corpus_config,corpus_description,corpus_template,summary_generator,summary_generator_model_id,generator_prompt_variant,exp_id,MAP@10,MRR@10,NDCG@10,Recall@5,Recall@10,Recall@15,Recall@50,Recall@100,Recall@200,Recall@300,Hit@1,Hit@5,Hit@10,Hit@100
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,phase_1_raw_instruction_sweep,0.170927,0.238539,0.213544,0.220684,0.291916,0.336901,0.509855,0.637475,0.771108,0.861976,0.164671,0.29491,0.371257,0.724551
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,no_instr,fable_direct_moral,Fable followed by generated direct moral summary.,{fable}\n\nMoral summary: {direct_moral},gemini,gemini-3-flash-preview,direct_moral,phase_2_extra_instruction_sweep,0.299881,0.366315,0.361754,0.406886,0.495384,0.550998,0.710953,0.813423,0.896756,0.947804,0.263473,0.482036,0.576347,0.872754
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,no_instr,direct_moral_only,Generated direct moral summary only; no fable text.,{direct_moral},gemini,gemini-3-flash-preview,direct_moral,phase_2_extra_instruction_sweep,0.32198,0.395384,0.379214,0.403767,0.488323,0.535903,0.682635,0.785454,0.856462,0.91512,0.302395,0.492515,0.576347,0.838323
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,no_instr,direct_moral_fable,"Generated direct moral summary first, then fable text.",Moral summary: {direct_moral}\n\n{fable},gemini,gemini-3-flash-preview,direct_moral,phase_2_extra_instruction_sweep,0.317188,0.385034,0.378532,0.410853,0.51023,0.560928,0.723877,0.820758,0.900624,0.94481,0.288922,0.491018,0.591317,0.88024
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,no_instr,fable_cot_proverb,Fable followed by generated chain-of-thought proverb summary.,{fable}\n\nMoral summary: {cot_proverb},gemini,gemini-3-flash-preview,cot_proverb,phase_2_extra_instruction_sweep,0.313136,0.377585,0.37402,0.414247,0.504242,0.559855,0.725823,0.825749,0.90262,0.94002,0.270958,0.494012,0.583832,0.875749
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,no_instr,cot_proverb_only,Generated chain-of-thought proverb summary only; no fable text.,{cot_proverb},gemini,gemini-3-flash-preview,cot_proverb,phase_2_extra_instruction_sweep,0.295985,0.356533,0.348057,0.367265,0.450299,0.499002,0.630763,0.729266,0.829441,0.89002,0.270958,0.438623,0.516467,0.787425
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,no_instr,cot_proverb_fable,"Generated chain-of-thought proverb summary first, then fable text.",Moral summary: {cot_proverb}\n\n{fable},gemini,gemini-3-flash-preview,cot_proverb,phase_2_extra_instruction_sweep,0.326571,0.394292,0.386521,0.420908,0.512151,0.570659,0.734182,0.81774,0.901572,0.941841,0.291916,0.5,0.592814,0.871257
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,no_instr,fable_conceptual_abstract,Fable followed by generated conceptual abstract moral summary.,{fable}\n\nMoral summary: {conceptual_abstract},gemini,gemini-3-flash-preview,conceptual_abstract,phase_2_extra_instruction_sweep,0.302013,0.363701,0.36325,0.395858,0.5001,0.542939,0.716342,0.824251,0.904541,0.947056,0.261976,0.471557,0.582335,0.88024
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,no_instr,conceptual_abstract_only,Generated conceptual abstract moral summary only; no fable text.,{conceptual_abstract},gemini,gemini-3-flash-preview,conceptual_abstract,phase_2_extra_instruction_sweep,0.314283,0.387958,0.36919,0.390469,0.476098,0.543363,0.689995,0.773278,0.859157,0.907111,0.299401,0.471557,0.552395,0.827844
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,no_instr,conceptual_abstract_fable,"Generated conceptual abstract moral summary first, then fable text.",Moral summary: {conceptual_abstract}\n\n{fable},gemini,gemini-3-flash-preview,conceptual_abstract,phase_2_extra_instruction_sweep,0.317563,0.385355,0.380437,0.410679,0.518837,0.572305,0.72979,0.81492,0.901572,0.949152,0.287425,0.482036,0.597305,0.871257
