moral_id,moral_text,relevant_fable,ranked_ids,reciprocal_rank,r_at_1,r_at_5,r_at_10,ndcg_at_10,rank,latency_s
moral_0000,Gratitude is the sign of noble souls.,fable_0000,fable_0568|fable_0139|fable_0172|fable_0647|fable_0652|fable_0608|fable_0452|fable_0343|fable_0061|fable_0584,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0001,Appearances are deceptive.,fable_0001,fable_0383|fable_0404|fable_0044|fable_0042|fable_0485|fable_0422|fable_0255|fable_0115|fable_0538|fable_0577,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0002,There's a time for work and a time for play.,fable_0002,fable_0002|fable_0150|fable_0149|fable_0667|fable_0180|fable_0064|fable_0656|fable_0280|fable_0567|fable_0560,1.0,1.0,1.0,1.0,1.0,1,0.0
moral_0003,In quarreling about the shadow we often lose the substance.,fable_0003,fable_0003|fable_0581|fable_0381|fable_0298|fable_0031|fable_0413|fable_0593|fable_0557|fable_0334|fable_0337,1.0,1.0,1.0,1.0,1.0,1,0.0
moral_0004,Men often bear little grievances with less courage than they do large misfortunes.,fable_0004,fable_0532|fable_0383|fable_0545|fable_0094|fable_0433|fable_0367|fable_0130|fable_0280|fable_0653|fable_0647,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0005,To be satisfied with one's lot is better than to desire something which one is not fitted to receive.,fable_0005,fable_0105|fable_0557|fable_0578|fable_0567|fable_0256|fable_0019|fable_0660|fable_0025|fable_0706|fable_0264,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0006,Clumsy jesting is no joke.,fable_0006,fable_0383|fable_0043|fable_0100|fable_0014|fable_0424|fable_0404|fable_0308|fable_0016|fable_0647|fable_0115,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0007,An ounce of prevention is worth a pound of cure.,fable_0007,fable_0656|fable_0611|fable_0706|fable_0441|fable_0610|fable_0094|fable_0151|fable_0251|fable_0188|fable_0288,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0008,"Fine clothes may disguise, but silly words will disclose a fool.",fable_0008,fable_0383|fable_0539|fable_0406|fable_0255|fable_0484|fable_0370|fable_0412|fable_0106|fable_0251|fable_0064,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0009,Wit always has an answer ready.,fable_0009,fable_0129|fable_0406|fable_0012|fable_0013|fable_0015|fable_0128|fable_0101|fable_0040|fable_0151|fable_0687,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0010,Vices are their own punishment.,fable_0010,fable_0383|fable_0637|fable_0402|fable_0357|fable_0658|fable_0422|fable_0308|fable_0537|fable_0298|fable_0280,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0011,It's good to be able to laugh at yourself.,fable_0011,fable_0119|fable_0019|fable_0022|fable_0129|fable_0372|fable_0708|fable_0555|fable_0006|fable_0068|fable_0048,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0012,You will only injure yourself if you take notice of despicable enemies.,fable_0012,fable_0383|fable_0532|fable_0459|fable_0312|fable_0290|fable_0281|fable_0559|fable_0100|fable_0451|fable_0620,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0013,He that is neither one thing nor the other has no friends.,fable_0013,fable_0074|fable_0014|fable_0191|fable_0013|fable_0315|fable_0694|fable_0311|fable_0302|fable_0280|fable_0290,0.25,0.0,1.0,1.0,0.43067655807339306,4,0.0
moral_0014,Misfortune tests the sincerity of friends.,fable_0014,fable_0532|fable_0383|fable_0050|fable_0455|fable_0014|fable_0028|fable_0173|fable_0306|fable_0348|fable_0694,0.2,0.0,1.0,1.0,0.38685280723454163,5,0.0
