moral_id,moral_text,relevant_fable,ranked_ids,reciprocal_rank,r_at_1,r_at_5,r_at_10,ndcg_at_10,rank,latency_s
moral_0200,Disaster awaits the arrogant person who puts on airs: he will fail to get promoted and will lose his former position as well.,fable_0200,fable_0643|fable_0532|fable_0581|fable_0586|fable_0263|fable_0101|fable_0016|fable_0634|fable_0118|fable_0698,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0201,A learned man has always a fund of riches in himself.,fable_0201,fable_0356|fable_0568|fable_0150|fable_0148|fable_0002|fable_0015|fable_0656|fable_0149|fable_0569|fable_0557,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0202,It is easy to attack those who have fallen from their position of power and glory.,fable_0202,fable_0383|fable_0386|fable_0213|fable_0611|fable_0416|fable_0532|fable_0708|fable_0586|fable_0554|fable_0643,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0203,Self-preservation can sometimes take precedence over kinship.,fable_0203,fable_0532|fable_0383|fable_0455|fable_0668|fable_0281|fable_0594|fable_0459|fable_0397|fable_0312|fable_0619,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0204,Someone who lays a trap for others will fall victim to it himself.,fable_0204,fable_0532|fable_0164|fable_0597|fable_0315|fable_0040|fable_0420|fable_0140|fable_0484|fable_0064|fable_0384,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0205,People who lay traps for others should be careful not to fall into a trap themselves.,fable_0205,fable_0383|fable_0532|fable_0315|fable_0594|fable_0047|fable_0538|fable_0648|fable_0404|fable_0424|fable_0422,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0206,Men feel worst when they contribute to their own undoing.,fable_0206,fable_0383|fable_0532|fable_0400|fable_0418|fable_0410|fable_0506|fable_0000|fable_0416|fable_0287|fable_0589,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0207,There is no glory in tricking those easy to trick.,fable_0207,fable_0383|fable_0532|fable_0315|fable_0043|fable_0044|fable_0597|fable_0263|fable_0255|fable_0164|fable_0440,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0208,Rushing into pleasant invitations can lead to dire consequences.,fable_0208,fable_0532|fable_0383|fable_0251|fable_0424|fable_0170|fable_0320|fable_0669|fable_0100|fable_0308|fable_0204,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0209,"Inattentive people quickly notice anything that they think will benefit them, while they are completely unaware of things which are not their immediate concern.",fable_0209,fable_0383|fable_0108|fable_0331|fable_0554|fable_0280|fable_0422|fable_0284|fable_0648|fable_0526|fable_0495,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0210,Do not laugh at the calamity that befalls your neighbour.,fable_0210,fable_0022|fable_0532|fable_0379|fable_0331|fable_0413|fable_0101|fable_0484|fable_0646|fable_0350|fable_0491,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0211,Evil tendencies are shown in early life.,fable_0211,fable_0359|fable_0193|fable_0135|fable_0119|fable_0152|fable_0380|fable_0472|fable_0059|fable_0641|fable_0194,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0212,Rewards do not always accompany a lifetime of good work.,fable_0212,fable_0383|fable_0306|fable_0053|fable_0579|fable_0701|fable_0103|fable_0662|fable_0051|fable_0667|fable_0419,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0213,Only cowards insult dying majesty.,fable_0213,fable_0378|fable_0496|fable_0258|fable_0469|fable_0658|fable_0447|fable_0382|fable_0403|fable_0696|fable_0498,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0214,Preparedness for war is the best guarantee of peace.,fable_0214,fable_0672|fable_0549|fable_0059|fable_0106|fable_0940|fable_0647|fable_0637|fable_0654|fable_0648|fable_0129,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0215,"It is good to set aside our deadly disputes and conflicts, since they put everyone's lives in jeopardy.",fable_0215,fable_0420|fable_0209|fable_0306|fable_0386|fable_0599|fable_0312|fable_0130|fable_0201|fable_0106|fable_0013,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0216,"What you have done to others will likewise be done to you, according to the same measure.",fable_0216,fable_0383|fable_0532|fable_0402|fable_0628|fable_0308|fable_0454|fable_0353|fable_0021|fable_0264|fable_0053,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0217,Counsel without help is useless.,fable_0217,fable_0611|fable_0064|fable_0015|fable_0559|fable_0287|fable_0586|fable_0698|fable_0650|fable_0094|fable_0690,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0218,Anything which is done at the wrong time is liable to be ridiculed.,fable_0218,fable_0594|fable_0157|fable_0487|fable_0283|fable_0575|fable_0436|fable_0443|fable_0077|fable_0664|fable_0286,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0219,An honest man's word is as good as his oath.,fable_0219,fable_0414|fable_0237|fable_0496|fable_0424|fable_0302|fable_0005|fable_0303|fable_0601|fable_0456|fable_0360,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0220,"Better poverty without care, than riches with.",fable_0220,fable_0400|fable_0650|fable_0531|fable_0341|fable_0287|fable_0281|fable_0658|fable_0285|fable_0251|fable_0101,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0221,Inner beauty is better than outer beauty.,fable_0221,fable_0563|fable_0495|fable_0568|fable_0221|fable_0489|fable_0546|fable_0147|fable_0094|fable_0224|fable_0220,0.25,0.0,1.0,1.0,0.43067655807339306,4,0.0
moral_0222,Some men are of more consequence in their own eyes than in the eyes of their neighbors.,fable_0222,fable_0114|fable_0388|fable_0658|fable_0031|fable_0547|fable_0426|fable_0568|fable_0170|fable_0535|fable_0680,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0223,Do not mock the gods.,fable_0223,fable_0644|fable_0155|fable_0584|fable_0411|fable_0582|fable_0661|fable_0156|fable_0465|fable_0589|fable_0460,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0224,Some people just won't change.,fable_0224,fable_0383|fable_0355|fable_0327|fable_0657|fable_0141|fable_0365|fable_0335|fable_0256|fable_0369|fable_0330,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0225,People who enter into contests with unworthy opponents lower their own reputation.,fable_0225,fable_0532|fable_0532|fable_0402|fable_0312|fable_0593|fable_0466|fable_0459|fable_0454|fable_0204|fable_0624,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0226,"When you are besieged by powerful people, you are subject to vicious attacks by anyone and everyone.",fable_0226,fable_0100|fable_0383|fable_0013|fable_0184|fable_0595|fable_0312|fable_0406|fable_0115|fable_0454|fable_0148,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0227,"When we form friendships with one another, we must choose allies who can come to our aid in moments of peril.",fable_0227,fable_0014|fable_0459|fable_0131|fable_0386|fable_0312|fable_0705|fable_0065|fable_0383|fable_0408|fable_0179,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0228,"Unity is strength, while division invites defeat.",fable_0228,fable_0593|fable_0016|fable_0013|fable_0312|fable_0487|fable_0552|fable_0511|fable_0599|fable_0641|fable_0705,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0229,Believing your enemies makes you fall victim to their tricks and gets you into trouble.,fable_0229,fable_0383|fable_0420|fable_0539|fable_0298|fable_0422|fable_0312|fable_0100|fable_0418|fable_0350|fable_0311,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0230,"Those who take by force are met with resistance, while those who approach with humility may find unexpected generosity.",fable_0230,fable_0484|fable_0383|fable_0229|fable_0100|fable_0450|fable_0705|fable_0627|fable_0146|fable_0302|fable_0659,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0231,It is best to keep negative influences away.,fable_0231,fable_0383|fable_0459|fable_0532|fable_0312|fable_0321|fable_0455|fable_0315|fable_0605|fable_0601|fable_0562,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0232,Experience teaches valuable lessons and encourages caution.,fable_0232,fable_0553|fable_0461|fable_0611|fable_0304|fable_0036|fable_0357|fable_0188|fable_0658|fable_0140|fable_0594,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0233,Jealousy can lead people to foolishly imitate their betters.,fable_0233,fable_0532|fable_0105|fable_0200|fable_0486|fable_0254|fable_0084|fable_0347|fable_0053|fable_0359|fable_0508,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0234,Familiarity mollifies even the most terrifying things.,fable_0234,fable_0385|fable_0254|fable_0469|fable_0542|fable_0641|fable_0532|fable_0286|fable_0190|fable_0693|fable_0560,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0235,People who grasp for more than they need are deprived of what they have.,fable_0235,fable_0383|fable_0550|fable_0181|fable_0019|fable_0256|fable_0152|fable_0356|fable_0088|fable_0501|fable_0027,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0236,Beware of when the powerful and the deceitful collaborate.,fable_0236,fable_0383|fable_0315|fable_0538|fable_0504|fable_0146|fable_0302|fable_0320|fable_0390|fable_0394|fable_0221,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0237,Be cautious with promises made under duress.,fable_0237,fable_0302|fable_0320|fable_0146|fable_0188|fable_0237|fable_0306|fable_0077|fable_0064|fable_0235|fable_0658,0.2,0.0,1.0,1.0,0.38685280723454163,5,0.0
moral_0238,Tyrants need no excuse.,fable_0238,fable_0383|fable_0546|fable_0496|fable_0420|fable_0658|fable_0704|fable_0504|fable_0552|fable_0592|fable_0424,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0239,Stay focused on your goals.,fable_0239,fable_0158|fable_0002|fable_0656|fable_0280|fable_0149|fable_0066|fable_0669|fable_0551|fable_0103|fable_0568,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0240,Gossips are to be seen and not heard.,fable_0240,fable_0686|fable_0384|fable_0540|fable_0405|fable_0413|fable_0654|fable_0068|fable_0106|fable_0151|fable_0142,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0241,Relying too much on subordinates can lead to unintended consequences.,fable_0241,fable_0532|fable_0307|fable_0604|fable_0280|fable_0312|fable_0100|fable_0539|fable_0662|fable_0101|fable_0351,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0242,Look before you leap.,fable_0242,fable_0357|fable_0101|fable_0359|fable_0181|fable_0191|fable_0014|fable_0255|fable_0573|fable_0482|fable_0188,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0243,One bad turn deserves another.,fable_0243,fable_0383|fable_0303|fable_0457|fable_0653|fable_0642|fable_0208|fable_0488|fable_0348|fable_0404|fable_0607,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0244,"When the evidence is fairly weighed, a colourfully painted lie is quickly refuted by the facts.",fable_0244,fable_0380|fable_0137|fable_0301|fable_0539|fable_0255|fable_0303|fable_0208|fable_0705|fable_0550|fable_0244,0.1,0.0,0.0,1.0,0.2890648263178879,10,0.0
moral_0245,It is useless attacking the insensible.,fable_0245,fable_0103|fable_0353|fable_0648|fable_0188|fable_0110|fable_0045|fable_0182|fable_0059|fable_0399|fable_0595,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0246,Opposites are utterly incompatible.,fable_0246,fable_0074|fable_0188|fable_0450|fable_0306|fable_0681|fable_0627|fable_0190|fable_0402|fable_0147|fable_0354,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0247,Favor those who do you kindness.,fable_0247,fable_0656|fable_0285|fable_0430|fable_0146|fable_0047|fable_0000|fable_0507|fable_0109|fable_0694|fable_0174,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0248,A discerning person is made wise by the misfortunes of his neighbours.,fable_0248,fable_0383|fable_0340|fable_0648|fable_0045|fable_0280|fable_0153|fable_0532|fable_0355|fable_0306|fable_0611,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0249,Do not go chasing after things that are useless and unprofitable.,fable_0249,fable_0483|fable_0272|fable_0340|fable_0286|fable_0251|fable_0284|fable_0105|fable_0571|fable_0427|fable_0660,0.0,0.0,0.0,0.0,0.0,,0.0
