model_alias,model_id,instruction_variant,corpus_config,corpus_description,corpus_template,summary_generator,summary_generator_model_id,generator_prompt_variant,exp_id,MAP@10,MRR@10,NDCG@10,Recall@5,Recall@10,Recall@15,Recall@50,Recall@100,Recall@200,Recall@300,Hit@1,Hit@5,Hit@10,Hit@100,ft_experiment,ft_model_key,train_source,train_corpus_config,train_corpus_description,train_corpus_template,train_summary_generator,train_summary_generator_model_id,train_generator_prompt_variant,storal_size,storal_n_requested,storal_length_range,loss,temperature,epochs,early_stopping_metric,seed,batch_size,gradient_accumulation_steps,learning_rate,lora_r,lora_alpha,lora_dropout,model_output_dir,notes
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,moral_specific,raw,Original MORABLES fable text only.,{fable},,,,2026-05-19_04-22-38_linq_s200,0.322924,0.38464,0.374237,0.421332,0.517964,0.576871,0.751846,0.834032,0.923503,0.955015,0.273952,0.510479,0.609281,0.881737,ft_12_storal_transfer_clustered,linq,storal_raw_story_transfer,storal_raw_story,STORAL moral-to-raw-story pairs; summaries are not available for STORAL training.,{story},,,,s200,200,"[56, 195]",InfoNCE,0.05,10,ndcg@10,42,4,4,0.0001,64,128,0.05,/data/lior/ft_12_storal_transfer_clustered/models/linq,One row per STORAL-trained model/size and clustered MORABLES evaluation corpus config.
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,moral_specific,direct_moral_only,Generated direct moral only.,{direct_moral},gemini,gemini-3-flash-preview,direct_moral,,,,,,,,,,,,,,,,ft_12_storal_transfer_clustered,linq,storal_raw_story_transfer,storal_raw_story,STORAL moral-to-raw-story pairs; summaries are not available for STORAL training.,{story},,,,s200,200,"[56, 195]",InfoNCE,0.05,10,ndcg@10,42,4,4,0.0001,64,128,0.05,/data/lior/ft_12_storal_transfer_clustered/models/linq,One row per STORAL-trained model/size and clustered MORABLES evaluation corpus config.
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,moral_specific,direct_moral_only,Generated direct moral only.,{direct_moral},gemma4-E2B,google/gemma-4-E2B-it,direct_moral,2026-05-19_04-22-38_linq_s200,0.152004,0.195082,0.179614,0.203992,0.270534,0.313373,0.494785,0.628094,0.757385,0.82999,0.110778,0.276946,0.356287,0.714072,ft_12_storal_transfer_clustered,linq,storal_raw_story_transfer,storal_raw_story,STORAL moral-to-raw-story pairs; summaries are not available for STORAL training.,{story},,,,s200,200,"[56, 195]",InfoNCE,0.05,10,ndcg@10,42,4,4,0.0001,64,128,0.05,/data/lior/ft_12_storal_transfer_clustered/models/linq,One row per STORAL-trained model/size and clustered MORABLES evaluation corpus config.
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,moral_specific,direct_moral_only,Generated direct moral only.,{direct_moral},gemma4-E4B,google/gemma-4-E4B-it,direct_moral,2026-05-19_04-22-34_linq_s200,0.180386,0.215211,0.20209,0.224177,0.280589,0.338972,0.510878,0.624276,0.764271,0.850324,0.142216,0.282934,0.357784,0.70509,ft_12_storal_transfer_clustered,linq,storal_raw_story_transfer,storal_raw_story,STORAL moral-to-raw-story pairs; summaries are not available for STORAL training.,{story},,,,s200,200,"[56, 195]",InfoNCE,0.05,10,ndcg@10,42,4,4,0.0001,64,128,0.05,/data/lior/ft_12_storal_transfer_clustered/models/linq,One row per STORAL-trained model/size and clustered MORABLES evaluation corpus config.
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,moral_specific,direct_moral_only,Generated direct moral only.,{direct_moral},gemma4-31B,google/gemma-4-31B-it,direct_moral,2026-05-19_03-02-26_linq_s200,0.292947,0.352364,0.331564,0.359431,0.444536,0.515419,0.694162,0.79516,0.863748,0.914147,0.251497,0.458084,0.535928,0.841317,ft_12_storal_transfer_clustered,linq,storal_raw_story_transfer,storal_raw_story,STORAL moral-to-raw-story pairs; summaries are not available for STORAL training.,{story},,,,s200,200,"[56, 195]",InfoNCE,0.05,10,ndcg@10,42,4,4,0.0001,64,128,0.05,/data/lior/ft_12_storal_transfer_clustered/models/linq,One row per STORAL-trained model/size and clustered MORABLES evaluation corpus config.
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,moral_specific,conceptual_abstract_only,Generated conceptual abstract only.,{conceptual_abstract},gemini,gemini-3-flash-preview,conceptual_abstract,2026-05-18_23-04-06_linq_s200,0.378803,0.433045,0.426258,0.457759,0.554915,0.600749,0.753942,0.837974,0.903343,0.926747,0.32485,0.549401,0.633234,0.877246,ft_12_storal_transfer_clustered,linq,storal_raw_story_transfer,storal_raw_story,STORAL moral-to-raw-story pairs; summaries are not available for STORAL training.,{story},,,,s200,200,"[56, 195]",InfoNCE,0.05,10,ndcg@10,42,4,4,0.0001,64,128,0.05,/data/lior/ft_12_storal_transfer_clustered/models/linq,One row per STORAL-trained model/size and clustered MORABLES evaluation corpus config.
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,moral_specific,conceptual_abstract_only,Generated conceptual abstract only.,{conceptual_abstract},gemma4-E2B,google/gemma-4-E2B-it,conceptual_abstract,2026-05-19_04-22-38_linq_s200,0.127673,0.170255,0.148034,0.160205,0.214296,0.257809,0.439496,0.57001,0.719361,0.804242,0.103293,0.229042,0.297904,0.661677,ft_12_storal_transfer_clustered,linq,storal_raw_story_transfer,storal_raw_story,STORAL moral-to-raw-story pairs; summaries are not available for STORAL training.,{story},,,,s200,200,"[56, 195]",InfoNCE,0.05,10,ndcg@10,42,4,4,0.0001,64,128,0.05,/data/lior/ft_12_storal_transfer_clustered/models/linq,One row per STORAL-trained model/size and clustered MORABLES evaluation corpus config.
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,moral_specific,conceptual_abstract_only,Generated conceptual abstract only.,{conceptual_abstract},gemma4-E4B,google/gemma-4-E4B-it,conceptual_abstract,2026-05-19_04-22-34_linq_s200,0.152581,0.198675,0.178591,0.192515,0.258957,0.309182,0.478892,0.584281,0.723129,0.813972,0.125749,0.263473,0.342814,0.673653,ft_12_storal_transfer_clustered,linq,storal_raw_story_transfer,storal_raw_story,STORAL moral-to-raw-story pairs; summaries are not available for STORAL training.,{story},,,,s200,200,"[56, 195]",InfoNCE,0.05,10,ndcg@10,42,4,4,0.0001,64,128,0.05,/data/lior/ft_12_storal_transfer_clustered/models/linq,One row per STORAL-trained model/size and clustered MORABLES evaluation corpus config.
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,moral_specific,conceptual_abstract_only,Generated conceptual abstract only.,{conceptual_abstract},gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,2026-05-19_03-02-26_linq_s200,0.27578,0.339156,0.318194,0.352345,0.431188,0.487974,0.659531,0.765993,0.860329,0.897705,0.238024,0.450599,0.523952,0.812874,ft_12_storal_transfer_clustered,linq,storal_raw_story_transfer,storal_raw_story,STORAL moral-to-raw-story pairs; summaries are not available for STORAL training.,{story},,,,s200,200,"[56, 195]",InfoNCE,0.05,10,ndcg@10,42,4,4,0.0001,64,128,0.05,/data/lior/ft_12_storal_transfer_clustered/models/linq,One row per STORAL-trained model/size and clustered MORABLES evaluation corpus config.
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,moral_specific,cot_proverb_only,Generated cot_proverb output only.,{cot_proverb},gemini,gemini-3-flash-preview,cot_proverb,,,,,,,,,,,,,,,,ft_12_storal_transfer_clustered,linq,storal_raw_story_transfer,storal_raw_story,STORAL moral-to-raw-story pairs; summaries are not available for STORAL training.,{story},,,,s200,200,"[56, 195]",InfoNCE,0.05,10,ndcg@10,42,4,4,0.0001,64,128,0.05,/data/lior/ft_12_storal_transfer_clustered/models/linq,One row per STORAL-trained model/size and clustered MORABLES evaluation corpus config.
