run_id,model_alias,model_id,instruction_variant,corpus_config,summary_generator,summary_generator_model_id,generator_prompt_variant,MAP@10,MRR@10,NDCG@10,Recall@5,Recall@10,Recall@15,Recall@50,Recall@100,Recall@200,Recall@300,Hit@1,Hit@5,Hit@10,Hit@100,Mean_Rank,Median_Rank,n_queries,error
Linq-Embed-Mistral__general__fable_direct_moral__gemma4-E2B__direct_moral,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,fable_direct_moral,gemma4-E2B,google/gemma-4-E2B-it,direct_moral,0.219381,0.28355,0.277124,0.311602,0.398852,0.450823,0.636128,0.75242,0.850499,0.903718,0.182635,0.384731,0.489521,0.827844,61.83,12.0,668,
Linq-Embed-Mistral__general__direct_moral_only__gemma4-E2B__direct_moral,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,direct_moral_only,gemma4-E2B,google/gemma-4-E2B-it,direct_moral,0.12621,0.184744,0.16318,0.172979,0.235155,0.294561,0.450374,0.582585,0.710529,0.795758,0.118263,0.230539,0.308383,0.681138,117.61,32.5,668,
Linq-Embed-Mistral__general__direct_moral_fable__gemma4-E2B__direct_moral,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,direct_moral_fable,gemma4-E2B,google/gemma-4-E2B-it,direct_moral,0.207912,0.270737,0.263858,0.284007,0.382485,0.42999,0.605165,0.731312,0.84481,0.89975,0.172156,0.360778,0.471557,0.812874,66.32,13.0,668,
Linq-Embed-Mistral__general__fable_cot_proverb__gemma4-E2B__cot_proverb,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,fable_cot_proverb,gemma4-E2B,google/gemma-4-E2B-it,cot_proverb,0.212865,0.278059,0.270539,0.300823,0.394411,0.453593,0.614845,0.72979,0.845509,0.903992,0.179641,0.386228,0.489521,0.806886,64.77,11.0,668,
Linq-Embed-Mistral__general__cot_proverb_only__gemma4-E2B__cot_proverb,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,cot_proverb_only,gemma4-E2B,google/gemma-4-E2B-it,cot_proverb,0.107489,0.156362,0.139548,0.150873,0.202121,0.246183,0.391766,0.498478,0.676248,0.776073,0.094311,0.20509,0.276946,0.607784,131.69,46.0,668,
Linq-Embed-Mistral__general__cot_proverb_fable__gemma4-E2B__cot_proverb,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,cot_proverb_fable,gemma4-E2B,google/gemma-4-E2B-it,cot_proverb,0.202337,0.263294,0.25445,0.274301,0.366018,0.412375,0.578767,0.703618,0.826871,0.894162,0.172156,0.347305,0.453593,0.778443,72.71,14.5,668,
Linq-Embed-Mistral__general__fable_conceptual_abstract__gemma4-E2B__conceptual_abstract,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,fable_conceptual_abstract,gemma4-E2B,google/gemma-4-E2B-it,conceptual_abstract,0.215133,0.281689,0.270592,0.305988,0.384306,0.439945,0.640269,0.737425,0.845559,0.900649,0.182635,0.389222,0.468563,0.812874,63.5,13.0,668,
Linq-Embed-Mistral__general__conceptual_abstract_only__gemma4-E2B__conceptual_abstract,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,conceptual_abstract_only,gemma4-E2B,google/gemma-4-E2B-it,conceptual_abstract,0.089615,0.143694,0.1229,0.135729,0.185928,0.212899,0.385753,0.521881,0.671632,0.77742,0.085329,0.191617,0.263473,0.61976,130.84,55.5,668,
Linq-Embed-Mistral__general__conceptual_abstract_fable__gemma4-E2B__conceptual_abstract,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,conceptual_abstract_fable,gemma4-E2B,google/gemma-4-E2B-it,conceptual_abstract,0.192117,0.255913,0.246166,0.271507,0.360254,0.422156,0.617715,0.723603,0.835554,0.893488,0.155689,0.350299,0.447605,0.800898,66.67,15.0,668,
Linq-Embed-Mistral__general__fable_proverb__gemma4-E2B__proverb,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,fable_proverb,gemma4-E2B,google/gemma-4-E2B-it,proverb,0.236379,0.309964,0.292595,0.322131,0.401547,0.451148,0.640594,0.733807,0.838698,0.90267,0.214072,0.405689,0.495509,0.808383,63.63,11.0,668,
