query_id,query_text,cluster_type,n_relevant,best_relevant_rank,best_relevant_rr,best_relevant_score,best_relevant_iou_all,best_relevant_iou_content,max_relevant_iou_all,max_relevant_iou_content,mean_relevant_iou_content,top1_doc_id,top1_is_relevant,top1_score,top1_iou_all,top1_iou_content,best_lexical_doc_id,best_lexical_doc_is_relevant,best_lexical_doc_dense_rank,best_lexical_iou_content,source_path
moral_unique_0006,Clumsy jesting is no joke.,singleton,1,50,0.02,0.372559,0.0,0.0,0.0,0.0,0.0,fable_0071,0,0.585449,0.011111111111111112,0.0,fable_0011,0,3,0.030303030303030304,finetuning/ft_11_clustered/results/rankings/linq__raw__none__fold_0.json
moral_unique_0014,Misfortune tests the sincerity of friends.,near,2,2,0.5,0.697754,0.02040816326530612,0.0,0.04081632653061224,0.0,0.0,fable_0694,0,0.771973,0.03896103896103896,0.02631578947368421,fable_0397,0,31,0.041666666666666664,finetuning/ft_11_clustered/results/rankings/linq__raw__none__fold_0.json
moral_unique_0016,Each member in his proper sphere must work for the common good.,singleton,1,3,0.3333333333333333,0.593262,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,fable_0704,0,0.669434,0.039473684210526314,0.0,fable_0246,0,126,0.07407407407407407,finetuning/ft_11_clustered/results/rankings/linq__raw__none__fold_0.json
moral_unique_0019,Do not attempt too much at once.,near,3,2,0.5,0.657227,0.0,0.0,0.04477611940298507,0.0,0.0,fable_0347,0,0.824219,0.023809523809523808,0.0,fable_0459,0,604,0.023809523809523808,finetuning/ft_11_clustered/results/rankings/linq__raw__none__fold_0.json
moral_unique_0022,Men often applaud an imitation and hiss the real thing.,singleton,1,1,1.0,0.638672,0.020618556701030927,0.0,0.020618556701030927,0.0,0.0,fable_0022,1,0.638672,0.020618556701030927,0.0,fable_0273,0,64,0.05405405405405406,finetuning/ft_11_clustered/results/rankings/linq__raw__none__fold_0.json
moral_unique_0032,"If words suffice not, blows must follow.",singleton,1,2,0.5,0.580078,0.011235955056179775,0.0,0.011235955056179775,0.0,0.0,fable_0700,0,0.691895,0.0136986301369863,0.022222222222222223,fable_0656,0,248,0.1,finetuning/ft_11_clustered/results/rankings/linq__raw__none__fold_0.json
moral_unique_0043,Do not trust flatterers.,near,4,1,1.0,0.669922,0.0,0.0,0.0196078431372549,0.01818181818181818,0.004545454545454545,fable_0044,1,0.669922,0.0,0.0,fable_0067,0,32,0.041666666666666664,finetuning/ft_11_clustered/results/rankings/linq__raw__none__fold_0.json
moral_unique_0044,Look before you leap.,exact,3,2,0.5,0.624023,0.0,0.0,0.015625,0.0,0.0,fable_0375,0,0.657715,0.01639344262295082,0.0,fable_0514,0,103,0.041666666666666664,finetuning/ft_11_clustered/results/rankings/linq__raw__none__fold_0.json
moral_unique_0046,There is as much malice in a wink as in a word.,singleton,1,3,0.3333333333333333,0.424072,0.037383177570093455,0.01639344262295082,0.037383177570093455,0.01639344262295082,0.01639344262295082,fable_0572,0,0.455811,0.03571428571428571,0.015384615384615385,fable_0685,0,9,0.03125,finetuning/ft_11_clustered/results/rankings/linq__raw__none__fold_0.json
moral_unique_0048,Old friends should not be sacrificed for new ones.,near,2,1,1.0,0.605469,0.01652892561983471,0.0,0.01652892561983471,0.009174311926605505,0.0045871559633027525,fable_0049,1,0.605469,0.01652892561983471,0.0,fable_0643,0,14,0.06818181818181818,finetuning/ft_11_clustered/results/rankings/linq__raw__none__fold_0.json
