status,scope,experiment_id,experiment_name,run_id,run_date,result_level,task_direction,retrieval_backend,retrieval_model,retrieval_model_id,generator_model,generator_model_id,training_data,n_train,train_doc_mode,eval_doc_mode,corpus_config,corpus_type,instruction_variant,prompt_variant,folds,eval_n,MRR@10,R@1,R@5,R@10,NDCG@10,Mean_Rank,Median_Rank,R@50,NDCG@50,notes,source_file
completed_analysis,MORABLES,analysis_07,Soft MRR (ambiguity-corrected),corrected__analysis_07,2026-04,corrected,moral_to_fable,analysis_adjusted_metric,Linq-Embed-Mistral ft_07,,,,-,-,,fable_plus_summary,fable_plus_summary,,,,,,0.468,,,,,,,,,42 queries rescued,docs/results_all_experiments.csv
completed_analysis,MORABLES,analysis_07,Clean subset (94 ambiguous removed),corrected__analysis_07,2026-04,corrected,moral_to_fable,analysis_adjusted_metric,Linq-Embed-Mistral ft_07,,,,-,615,,fable_plus_summary,fable_plus_summary,,,,,615,0.448,0.346,0.587,0.67,,,,,,,docs/results_all_experiments.csv
completed,MORABLES,exp_02,Original embedding model comparison,bge-base__plain,2026-03-15,full_709,moral_to_fable,embedding,bge-base__plain,BAAI/bge-base-en-v1.5,,,,,,raw,raw,,plain,,,709,0.069066,0.03385,0.087447,0.12835,0.074155,208.119887,144,0.311707,0.112697,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,bge-m3__plain,2026-03-15,full_709,moral_to_fable,embedding,bge-m3__plain,BAAI/bge-m3,,,,,,raw,raw,,plain,,,709,0.088894,0.047955,0.104372,0.169252,0.098206,174.486601,105,0.352609,0.137473,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,contriever__plain,2026-03-15,full_709,moral_to_fable,embedding,contriever__plain,facebook/contriever,,,,,,raw,raw,,plain,,,709,0.083705,0.040903,0.122708,0.166432,0.094855,196.252468,129,0.318759,0.127828,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,drama__no_instr,2026-03-15,full_709,moral_to_fable,embedding,drama__no_instr,facebook/drama-1b,,,,,,raw,raw,,no_instr,,,709,0.08499,0.043724,0.105783,0.165021,0.0949,187.8378,119,0.337094,0.131452,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,drama__prompted,2026-03-15,full_709,moral_to_fable,embedding,drama__prompted,facebook/drama-1b,,,,,,raw,raw,,prompted,,,709,0.091843,0.047955,0.118477,0.176305,0.101796,169.782793,97,0.385049,0.146096,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,e5-base__plain,2026-03-15,full_709,moral_to_fable,embedding,e5-base__plain,intfloat/e5-base-v2,,,,,,raw,raw,,plain,,,709,0.086181,0.047955,0.110014,0.143865,0.090765,195.590973,120,0.331453,0.130697,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,e5-mistral-7b__general,2026-03-15,full_709,moral_to_fable,embedding,e5-mistral-7b__general,intfloat/e5-mistral-7b-instruct,,,,,,raw,raw,,general,,,709,0.14591,0.090268,0.19323,0.239774,0.159514,185.141044,95,0.416079,0.19817,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,e5-mistral-7b__no_instr,2026-03-15,full_709,moral_to_fable,embedding,e5-mistral-7b__no_instr,intfloat/e5-mistral-7b-instruct,,,,,,raw,raw,,no_instr,,,709,0.100199,0.052186,0.142454,0.188999,0.113344,202.926657,140,0.341326,0.146182,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,e5-mistral-7b__specific,2026-03-15,full_709,moral_to_fable,embedding,e5-mistral-7b__specific,intfloat/e5-mistral-7b-instruct,,,,,,raw,raw,,specific,,,709,0.051967,0.022567,0.06488,0.088858,0.052448,237.813822,194,0.248237,0.086488,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,gte-qwen2-1.5b__general,2026-03-15,full_709,moral_to_fable,embedding,gte-qwen2-1.5b__general,Alibaba-NLP/gte-Qwen2-1.5B-instruct,,,,,,raw,raw,,general,,,709,0.080615,0.040903,0.104372,0.148096,0.087202,202.188999,128,0.327221,0.126088,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,gte-qwen2-1.5b__no_instr,2026-03-15,full_709,moral_to_fable,embedding,gte-qwen2-1.5b__no_instr,Alibaba-NLP/gte-Qwen2-1.5B-instruct,,,,,,raw,raw,,no_instr,,,709,0.056056,0.025388,0.067701,0.101551,0.056812,201.246827,129,0.291961,0.097961,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,gte-qwen2-1.5b__specific,2026-03-15,full_709,moral_to_fable,embedding,gte-qwen2-1.5b__specific,Alibaba-NLP/gte-Qwen2-1.5B-instruct,,,,,,raw,raw,,specific,,,709,0.064312,0.026798,0.083216,0.126939,0.070256,206.988717,146,0.300423,0.107239,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,gte-qwen2-7b__general,2026-03-15,full_709,moral_to_fable,embedding,gte-qwen2-7b__general,Alibaba-NLP/gte-Qwen2-7B-instruct,,,,,,raw,raw,,general,,,709,0.044619,0.019746,0.052186,0.077574,0.044821,250.985896,203,0.203103,0.071998,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,gte-qwen2-7b__no_instr,2026-03-15,full_709,moral_to_fable,embedding,gte-qwen2-7b__no_instr,Alibaba-NLP/gte-Qwen2-7B-instruct,,,,,,raw,raw,,no_instr,,,709,0.01498,0.004231,0.011283,0.019746,0.010158,315.040903,300,0.112835,0.029701,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,instructor-base__general,2026-03-15,full_709,moral_to_fable,embedding,instructor-base__general,hkunlp/instructor-base,,,,,,raw,raw,,general,,,709,0.084896,0.040903,0.111425,0.167842,0.094523,187.593794,120,0.365303,0.137721,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,instructor-base__no_instr,2026-03-15,full_709,moral_to_fable,embedding,instructor-base__no_instr,hkunlp/instructor-base,,,,,,raw,raw,,no_instr,,,709,0.087654,0.040903,0.119887,0.177715,0.098642,178.400564,103,0.366714,0.140527,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,instructor-base__specific,2026-03-15,full_709,moral_to_fable,embedding,instructor-base__specific,hkunlp/instructor-base,,,,,,raw,raw,,specific,,,709,0.07334,0.036671,0.087447,0.12835,0.076846,204.42031,138,0.306065,0.115718,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,instructor-xl__general,2026-03-15,full_709,moral_to_fable,embedding,instructor-xl__general,hkunlp/instructor-xl,,,,,,raw,raw,,general,,,709,0.121256,0.071932,0.16079,0.214386,0.133946,165.784203,89,0.396333,0.173411,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,instructor-xl__no_instr,2026-03-15,full_709,moral_to_fable,embedding,instructor-xl__no_instr,hkunlp/instructor-xl,,,,,,raw,raw,,no_instr,,,709,0.133228,0.073343,0.174894,0.239774,0.148297,145.249647,75,0.45275,0.194694,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,instructor-xl__specific,2026-03-15,full_709,moral_to_fable,embedding,instructor-xl__specific,hkunlp/instructor-xl,,,,,,raw,raw,,specific,,,709,0.115489,0.066291,0.153738,0.208745,0.128067,171.090268,93,0.383639,0.166457,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,linq-embed-mistral__general,2026-03-15,full_709,moral_to_fable,embedding,linq-embed-mistral__general,Linq-AI-Research/Linq-Embed-Mistral,,,,,,raw,raw,,general,,,709,0.210495,0.141044,0.282087,0.363893,0.237704,111.198872,36,0.558533,0.279541,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,linq-embed-mistral__no_instr,2026-03-15,full_709,moral_to_fable,embedding,linq-embed-mistral__no_instr,Linq-AI-Research/Linq-Embed-Mistral,,,,,,raw,raw,,no_instr,,,709,0.184208,0.117066,0.236953,0.301834,0.20194,120.337094,47,0.511989,0.247867,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,linq-embed-mistral__specific,2026-03-15,full_709,moral_to_fable,embedding,linq-embed-mistral__specific,Linq-AI-Research/Linq-Embed-Mistral,,,,,,raw,raw,,specific,,,709,0.080086,0.036671,0.114245,0.153738,0.087927,191.052186,118,0.332863,0.127359,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,lychee__general,2026-03-15,full_709,moral_to_fable,embedding,lychee__general,vec-ai/lychee-embed,,,,,,raw,raw,,general,,,709,0.100587,0.057828,0.125529,0.173484,0.108953,178.926657,110,0.349788,0.146366,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,lychee__no_instr,2026-03-15,full_709,moral_to_fable,embedding,lychee__no_instr,vec-ai/lychee-embed,,,,,,raw,raw,,no_instr,,,709,0.099674,0.059238,0.122708,0.16079,0.105238,190.251058,119,0.344147,0.144385,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,lychee__specific,2026-03-15,full_709,moral_to_fable,embedding,lychee__specific,vec-ai/lychee-embed,,,,,,raw,raw,,specific,,,709,0.068538,0.03103,0.093089,0.12976,0.07527,219.637518,163,0.267983,0.104935,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,multilingual-e5__plain,2026-03-15,full_709,moral_to_fable,embedding,multilingual-e5__plain,intfloat/multilingual-e5-large,,,,,,raw,raw,,plain,,,709,0.094876,0.056417,0.124118,0.152327,0.100239,210.558533,148,0.304654,0.133386,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,multilingual-e5-instruct__general,2026-03-15,full_709,moral_to_fable,embedding,multilingual-e5-instruct__general,intfloat/multilingual-e5-large-instruct,,,,,,raw,raw,,general,,,709,0.088898,0.040903,0.122708,0.170663,0.099739,201.445698,134,0.339915,0.136267,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,multilingual-e5-instruct__no_instr,2026-03-15,full_709,moral_to_fable,embedding,multilingual-e5-instruct__no_instr,intfloat/multilingual-e5-large-instruct,,,,,,raw,raw,,no_instr,,,709,0.079227,0.038082,0.105783,0.153738,0.088072,209.61213,148,0.308886,0.122175,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,multilingual-e5-instruct__specific,2026-03-15,full_709,moral_to_fable,embedding,multilingual-e5-instruct__specific,intfloat/multilingual-e5-large-instruct,,,,,,raw,raw,,specific,,,709,0.09378,0.050776,0.126939,0.172073,0.103885,214.337094,152,0.330042,0.138409,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,nomic-v2-moe__no_instr,2026-03-15,full_709,moral_to_fable,embedding,nomic-v2-moe__no_instr,nomic-ai/nomic-embed-text-v2-moe,,,,,,raw,raw,,no_instr,,,709,0.102181,0.060649,0.124118,0.180536,0.11053,179.519041,106,0.393512,0.156434,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,nomic-v2-moe__prefixed,2026-03-15,full_709,moral_to_fable,embedding,nomic-v2-moe__prefixed,nomic-ai/nomic-embed-text-v2-moe,,,,,,raw,raw,,prefixed,,,709,0.082499,0.040903,0.111425,0.150917,0.089674,197.172073,132,0.32158,0.127037,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,qwen3-0.6b__general,2026-03-15,full_709,moral_to_fable,embedding,qwen3-0.6b__general,Qwen/Qwen3-Embedding-0.6B,,,,,,raw,raw,,general,,,709,0.103476,0.055007,0.136812,0.181946,0.11173,154.737659,92,0.38646,0.156377,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,qwen3-0.6b__no_instr,2026-03-15,full_709,moral_to_fable,embedding,qwen3-0.6b__no_instr,Qwen/Qwen3-Embedding-0.6B,,,,,,raw,raw,,no_instr,,,709,0.096653,0.053597,0.126939,0.170663,0.104562,169.513399,100,0.345557,0.142841,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,qwen3-0.6b__specific,2026-03-15,full_709,moral_to_fable,embedding,qwen3-0.6b__specific,Qwen/Qwen3-Embedding-0.6B,,,,,,raw,raw,,specific,,,709,0.088521,0.049365,0.110014,0.143865,0.09253,183.306065,122,0.320169,0.13042,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,qwen3-4b__general,2026-03-15,full_709,moral_to_fable,embedding,qwen3-4b__general,Qwen/Qwen3-Embedding-4B,,,,,,raw,raw,,general,,,709,0.161961,0.098731,0.208745,0.272214,0.176706,126.396333,47,0.507757,0.22896,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,qwen3-4b__no_instr,2026-03-15,full_709,moral_to_fable,embedding,qwen3-4b__no_instr,Qwen/Qwen3-Embedding-4B,,,,,,raw,raw,,no_instr,,,709,0.141876,0.084626,0.186178,0.239774,0.155125,152.469676,68,0.445698,0.200165,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,qwen3-4b__specific,2026-03-15,full_709,moral_to_fable,embedding,qwen3-4b__specific,Qwen/Qwen3-Embedding-4B,,,,,,raw,raw,,specific,,,709,0.123907,0.071932,0.16079,0.214386,0.13495,164.857546,84,0.416079,0.179739,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,sfr-mistral__general,2026-03-15,full_709,moral_to_fable,embedding,sfr-mistral__general,Salesforce/SFR-Embedding-Mistral,,,,,,raw,raw,,general,,,709,0.178017,0.112835,0.241185,0.311707,0.200165,132.358251,46,0.509168,0.243169,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,sfr-mistral__no_instr,2026-03-15,full_709,moral_to_fable,embedding,sfr-mistral__no_instr,Salesforce/SFR-Embedding-Mistral,,,,,,raw,raw,,no_instr,,,709,0.156188,0.09591,0.212976,0.25952,0.171899,148.315938,73,0.444288,0.211919,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,sfr-mistral__specific,2026-03-15,full_709,moral_to_fable,embedding,sfr-mistral__specific,Salesforce/SFR-Embedding-Mistral,,,,,,raw,raw,,specific,,,709,0.100143,0.056417,0.12976,0.174894,0.107991,185.682652,108,0.370945,0.150818,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,stella-1.5b__no_instr,2026-03-15,full_709,moral_to_fable,embedding,stella-1.5b__no_instr,NovaSearch/stella_en_1.5B_v5,,,,,,raw,raw,,no_instr,,,709,0.144757,0.086037,0.19464,0.242595,0.15743,146.093089,56,0.476728,0.20817,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,stella-1.5b__prompted,2026-03-15,full_709,moral_to_fable,embedding,stella-1.5b__prompted,NovaSearch/stella_en_1.5B_v5,,,,,,raw,raw,,prompted,,,709,0.168635,0.107193,0.203103,0.286319,0.185821,133.864598,47,0.51763,0.235996,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,tart__no_instr,2026-03-15,full_709,moral_to_fable,embedding,tart__no_instr,orionweller/tart-dual-contriever-msmarco,,,,,,raw,raw,,no_instr,,,709,0.08435,0.046544,0.101551,0.148096,0.090717,200.561354,130,0.310296,0.125622,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_02,Original embedding model comparison,tart__specific,2026-03-15,full_709,moral_to_fable,embedding,tart__specific,orionweller/tart-dual-contriever-msmarco,,,,,,raw,raw,,specific,,,709,0.067345,0.03244,0.087447,0.122708,0.072095,224,170,0.280677,0.106296,Original broad off-the-shelf embedding sweep; raw fable documents.,results/runs/2026-03-15_combined_v2/results.json
completed,MORABLES,exp_03,Qwen summary augmentation,qwen3.5-0.8b__cot,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,qwen3.5-0.8b,,,,,fable_plus_summary,approach_B,fable_summary,,cot,,709,0.0943,0.0508,0.1241,0.1678,0.1018,180,110,,,Qwen-generated moral summaries appended to fables.,experiments/03_llm_summarisation/results/approach_b_results.csv
completed,MORABLES,exp_03,Qwen summary augmentation,qwen3.5-0.8b__detailed,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,qwen3.5-0.8b,,,,,fable_plus_summary,approach_B,fable_summary,,detailed,,709,0.1001,0.0564,0.1283,0.1763,0.109,180.7,118,,,Qwen-generated moral summaries appended to fables.,experiments/03_llm_summarisation/results/approach_b_results.csv
completed,MORABLES,exp_03,Qwen summary augmentation,qwen3.5-0.8b__direct,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,qwen3.5-0.8b,,,,,fable_plus_summary,approach_B,fable_summary,,direct,,709,0.0882,0.0465,0.1128,0.1495,0.0925,210.4,130,,,Qwen-generated moral summaries appended to fables.,experiments/03_llm_summarisation/results/approach_b_results.csv
completed,MORABLES,exp_03,Qwen summary augmentation,qwen3.5-0.8b__few_shot,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,qwen3.5-0.8b,,,,,fable_plus_summary,approach_B,fable_summary,,few_shot,,709,0.0655,0.0381,0.079,0.1171,0.0716,268.7,238,,,Qwen-generated moral summaries appended to fables.,experiments/03_llm_summarisation/results/approach_b_results.csv
completed,MORABLES,exp_03,Qwen summary augmentation,qwen3.5-2b__cot,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,qwen3.5-2b,,,,,fable_plus_summary,approach_B,fable_summary,,cot,,709,0.114,0.0677,0.1523,0.2031,0.1257,185.7,116,,,Qwen-generated moral summaries appended to fables.,experiments/03_llm_summarisation/results/approach_b_results.csv
completed,MORABLES,exp_03,Qwen summary augmentation,qwen3.5-2b__detailed,2026-03,full_709,moral_to_fable,summary_then_embedding,Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,qwen3.5-2b,,,,,fable_plus_summary,approach_B,fable_summary,,detailed,,709,0.1108,0.0635,0.1382,0.2059,0.1238,172.5,92,,,Qwen-generated moral summaries appended to fables.,experiments/03_llm_summarisation/results/approach_b_results.csv
