run_id,model_alias,model_id,instruction_variant,corpus_config,summary_generator,summary_generator_model_id,generator_prompt_variant,MAP@10,MRR@10,NDCG@10,Recall@5,Recall@10,Recall@15,Recall@50,Recall@100,Recall@200,Recall@300,Hit@1,Hit@5,Hit@10,Hit@100,Mean_Rank,Median_Rank,n_queries,error
SFR-Embedding-Mistral__general__raw,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,general,raw,,,,0.164853,0.233433,0.210965,0.22742,0.298129,0.3376,0.493962,0.60731,0.736602,0.826048,0.16018,0.305389,0.384731,0.699102,101.58,28.0,668,
SFR-Embedding-Mistral__moral_specific__raw,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,raw,,,,0.090131,0.152448,0.119115,0.12742,0.159256,0.203418,0.365494,0.475499,0.621233,0.744212,0.095808,0.194611,0.233533,0.577844,152.63,67.5,668,
SFR-Embedding-Mistral__no_instr__raw,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,no_instr,raw,,,,0.144802,0.199236,0.181912,0.193388,0.251771,0.282934,0.437799,0.539621,0.70756,0.811801,0.13024,0.260479,0.321856,0.634731,115.97,44.0,668,
SFR-Embedding-Mistral__general__conceptual_abstract_fable__gemini__conceptual_abstract,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,general,conceptual_abstract_fable,gemini,gemini-3-flash-preview,conceptual_abstract,0.301118,0.366297,0.364007,0.390245,0.504291,0.560155,0.713448,0.794636,0.886602,0.928817,0.269461,0.464072,0.585329,0.866766,47.65,7.0,668,
SFR-Embedding-Mistral__general__conceptual_abstract_only__gemini__conceptual_abstract,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,general,conceptual_abstract_only,gemini,gemini-3-flash-preview,conceptual_abstract,0.339603,0.412656,0.401515,0.439197,0.526747,0.580339,0.720235,0.800798,0.878892,0.933358,0.315868,0.523952,0.598802,0.853293,50.82,5.0,668,
SFR-Embedding-Mistral__general__fable_conceptual_abstract__gemini__conceptual_abstract,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,general,fable_conceptual_abstract,gemini,gemini-3-flash-preview,conceptual_abstract,0.293615,0.359942,0.356497,0.375599,0.497779,0.559306,0.69274,0.802046,0.885479,0.930289,0.26497,0.450599,0.583832,0.86976,50.13,7.0,668,
SFR-Embedding-Mistral__general__cot_proverb_fable__gemini__cot_proverb,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,general,cot_proverb_fable,gemini,gemini-3-flash-preview,cot_proverb,0.309819,0.374893,0.372623,0.414172,0.506936,0.547854,0.704266,0.786627,0.878743,0.93236,0.270958,0.492515,0.586826,0.851796,48.95,6.0,668,
SFR-Embedding-Mistral__general__cot_proverb_only__gemini__cot_proverb,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,general,cot_proverb_only,gemini,gemini-3-flash-preview,cot_proverb,0.301627,0.364982,0.35706,0.38755,0.466841,0.500299,0.655414,0.734356,0.850225,0.895734,0.276946,0.462575,0.538922,0.791916,67.63,7.5,668,
SFR-Embedding-Mistral__general__fable_cot_proverb__gemini__cot_proverb,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,general,fable_cot_proverb,gemini,gemini-3-flash-preview,cot_proverb,0.313283,0.3814,0.37166,0.40025,0.493014,0.545434,0.703418,0.80272,0.888897,0.932984,0.282934,0.477545,0.570359,0.860778,49.02,6.0,668,
SFR-Embedding-Mistral__general__direct_moral_fable__gemini__direct_moral,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,general,direct_moral_fable,gemini,gemini-3-flash-preview,direct_moral,0.298544,0.365179,0.360763,0.398453,0.493039,0.54259,0.703992,0.798154,0.884531,0.926497,0.257485,0.477545,0.579341,0.863772,48.63,6.0,668,
SFR-Embedding-Mistral__general__direct_moral_only__gemini__direct_moral,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,general,direct_moral_only,gemini,gemini-3-flash-preview,direct_moral,0.333644,0.403372,0.397772,0.433109,0.531412,0.578343,0.714047,0.794636,0.87767,0.919336,0.293413,0.525449,0.618263,0.844311,53.51,5.0,668,
SFR-Embedding-Mistral__general__fable_direct_moral__gemini__direct_moral,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,general,fable_direct_moral,gemini,gemini-3-flash-preview,direct_moral,0.29676,0.364313,0.360205,0.39521,0.49768,0.543663,0.687874,0.790294,0.888772,0.930264,0.263473,0.476048,0.583832,0.851796,50.31,6.5,668,
SFR-Embedding-Mistral__general__fable_proverb__gemini__proverb,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,general,fable_proverb,gemini,gemini-3-flash-preview,proverb,0.312581,0.381707,0.373941,0.407136,0.502171,0.558907,0.701023,0.797006,0.878942,0.925773,0.287425,0.48503,0.583832,0.85479,50.76,6.0,668,
SFR-Embedding-Mistral__general__proverb_fable__gemini__proverb,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,general,proverb_fable,gemini,gemini-3-flash-preview,proverb,0.301395,0.367136,0.363616,0.396931,0.496482,0.542864,0.702146,0.78997,0.874301,0.926597,0.257485,0.477545,0.579341,0.85479,50.59,6.0,668,
SFR-Embedding-Mistral__general__proverb_only__gemini__proverb,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,general,proverb_only,gemini,gemini-3-flash-preview,proverb,0.271023,0.329227,0.325219,0.356961,0.43503,0.485379,0.653368,0.748154,0.848752,0.901846,0.233533,0.432635,0.504491,0.797904,69.5,10.0,668,
SFR-Embedding-Mistral__moral_specific__conceptual_abstract_fable__gemini__conceptual_abstract,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,conceptual_abstract_fable,gemini,gemini-3-flash-preview,conceptual_abstract,0.287206,0.360812,0.354844,0.384731,0.495958,0.541043,0.679965,0.771831,0.870085,0.909306,0.260479,0.474551,0.585329,0.821856,61.63,6.0,668,
SFR-Embedding-Mistral__moral_specific__conceptual_abstract_only__gemini__conceptual_abstract,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,conceptual_abstract_only,gemini,gemini-3-flash-preview,conceptual_abstract,0.251348,0.328399,0.313012,0.351996,0.435878,0.496407,0.634905,0.747031,0.841766,0.904416,0.229042,0.450599,0.523952,0.800898,69.42,9.0,668,
SFR-Embedding-Mistral__moral_specific__fable_conceptual_abstract__gemini__conceptual_abstract,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,fable_conceptual_abstract,gemini,gemini-3-flash-preview,conceptual_abstract,0.260311,0.332341,0.320567,0.341941,0.44521,0.511652,0.663373,0.765095,0.858283,0.912725,0.232036,0.42515,0.528443,0.817365,63.59,9.0,668,
SFR-Embedding-Mistral__moral_specific__cot_proverb_fable__gemini__cot_proverb,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,cot_proverb_fable,gemini,gemini-3-flash-preview,cot_proverb,0.284631,0.358032,0.345689,0.381013,0.463373,0.515419,0.660279,0.756013,0.863573,0.919661,0.254491,0.473054,0.552395,0.805389,62.26,6.0,668,
SFR-Embedding-Mistral__moral_specific__cot_proverb_only__gemini__cot_proverb,SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,cot_proverb_only,gemini,gemini-3-flash-preview,cot_proverb,0.2647,0.33241,0.31971,0.3375,0.428044,0.470684,0.64264,0.711801,0.829566,0.885105,0.252994,0.414671,0.502994,0.772455,77.08,10.0,668,
