query_idx,moral_text,gt_fable_idx,gt_fable_title,gt_moral_category,gt_themes,gt_rank,gt_score,top1_fable_idx,top1_fable_title,top1_moral_category,top1_themes,top1_score,score_gap
278,Be careful what you wish for.,278,The Poor Man And Death,wisdom,death|poverty|humor|irony,76,0.3255,431,The Shepherd And The Lion,wisdom,vows|terror|prayer|irony,0.8118,0.4864
617,Be careful what you wish for.,617,The Eyes and the Honey,contentment,envy|self-harm|misguided desires|consequences,58,0.3357,431,The Shepherd And The Lion,wisdom,vows|terror|prayer|irony,0.8118,0.4761
332,Greed for more can lead to losing what you already have.,332,The Jackdaw And The Doves,deception,identity|belonging|deception|consequences,235,0.2882,235,Zeus And The Camel,greed,greed|divine punishment|envy|acceptance,0.7257,0.4374
93,Understand what you are doing before you do it.,93,The Shepherd and the Sea,greed,greed|risk|regret|contentment,270,0.2538,375,The Fox And The Hare In The Well,wisdom,foresight|planning|recklessness|consequences,0.6882,0.4344
187,Those who seek to please everybody please nobody.,187,The Bald Man And His Two Mistresses,vanity,vanity|rivalry|self-interest|unintended consequences,20,0.4662,78,"The Miller, His Son, and Their Ass",wisdom,pleasing others|indecision|folly|self-reliance,0.8861,0.4199
185,Expectations can lead to disappointment when reality does not match our desires.,185,The Bald Men And The Comb,fate,fate|irony|bad luck|acceptance,79,0.2254,360,The Fishermen And The Stone,contentment,disappointment|expectation|resilience|acceptance,0.6361,0.4107
593,Nature reveals itself.,593,The Kingdom of The Lion,wisdom,peace|universal law|cynicism|instinct over rule,373,0.2479,147,Zeus And Prometheus,nature,nature|creation|fate|transformation,0.6552,0.4074
568,Everyone is more or less master of his own fate.,568,The Ploughman and Fortune,ingratitude,gratitude|fortune|attribution of luck|blame,174,0.3450,156,The Man And The Oracle,hubris,hubris|divine wisdom|testing fate|pride,0.7459,0.4009
576,The grass is always greener on the other side of the fence.,576,A Wild Ass and A Tame,contentment,freedom vs comfort|envy|disillusionment|hidden costs,27,0.4448,667,A Husbandman turn'd Soldier and Merchant,ambition,ambition|discontent|consequences|restlessness,0.8239,0.3791
183,Do not attempt the impossible.,183,The Frog And The Ox,pride,pride|envy|hubris|self-destruction,21,0.4616,292,The Wolves And The Hides,greed,greed|foolishness|desire|consequences,0.8362,0.3746
629,Pride and vanity leads to our downfall.,629,A Cuckow and a Hawk,contentment,wisdom|contentment|safety vs danger|nature,97,0.3523,581,The Wolf and his Shadow,pride,pride|overconfidence|illusion|downfall,0.7181,0.3659
621,Every tale is not to be believed.,621,The Thief and The Boy,deception,deception|cunning|counterplot|trickery,104,0.3613,486,The Wolf And The Nurse,deception,false threats|deception|idle words|missed opportunity,0.7172,0.3559
590,Watch the actions of your enemy.,590,The Sun and the Frogs,wisdom,environmental threat|collective welfare|foresight|fear,622,0.2143,248,The Cicada And The Fox,deception,cunning|flattery|vigilance|deception,0.5679,0.3535
473,False men cannot be trusted.,473,The Shepherd And The Wolf Cub,deception,dangerous lessons|betrayal|nurture|consequences,323,0.3153,261,The Crane And The Crow,trust,deception|friendship|prophecy|betrayal,0.6686,0.3533
626,It's wise to think before we speak.,626,A Country-man and a Hawk,justice,justice|hypocrisy|reciprocity|predation,484,0.2069,375,The Fox And The Hare In The Well,wisdom,foresight|planning|recklessness|consequences,0.5595,0.3526
105,Obscurity often brings safety.,105,The Tree and the Reed,pride,pride|humility|flexibility|hubris,38,0.4794,358,The Fisherman And The Fish,fate,vulnerability|size|escape|luck,0.8260,0.3467
515,Do not ask for more than you deserve.,515,Mercury And The Two Women,fate,divine reward|foolish wishes|irony|consequences,462,0.3227,235,Zeus And The Camel,greed,greed|divine punishment|envy|acceptance,0.6682,0.3455
602,Consider all before you judge.,602,The Sheep and The Dog,ingratitude,value of labor|fairness|different roles|gratitude,640,0.2531,587,"The Philosopher, The Ants, and Mercury",justice,divine providence|hypocrisy|judgment|perspective,0.5928,0.3397
466,Not all advice is wise.,466,The Rich Man And The Tanner,pride,class conflict|adaptation|tolerance|stubbornness,562,0.2947,674,A Man that would not take a Clyster,wisdom,ignorance|pride|medicine|stubbornness,0.6303,0.3356
297,There is danger lurking in the words of a wicked person.,297,The Mother Dog And Her Puppies,ingratitude,greed|ingratitude|cunning|possession,457,0.3030,180,The Wolf And The Goat On The Cliff,deception,deception|safety|predator prey|false concern,0.6383,0.3353
118,No gratitude from the wicked.,118,The Woodman and the Serpent,ingratitude,ingratitude|kindness|betrayal|nature,37,0.4778,34,The Farmer and the Snake,ingratitude,ingratitude|compassion|danger|consequences,0.8052,0.3274
280,Good will is worth nothing unless it is accompanied by good acts.,280,The Deer And Her Friends,ingratitude,ingratitude|greed|friendship|betrayal,266,0.2681,199,The Two Dung Beetles,friendship,friendship|broken promises|abundance|self-interest,0.5945,0.3264
445,Appearances can be deceiving.,445,The Mice And The Weasel,wisdom,deception|wisdom|aging|camouflage,21,0.4800,677,A Cat and Mice,deception,deception|naivety|danger|appearances,0.8062,0.3262
204,Someone who lays a trap for others will fall victim to it himself.,204,The Bird Catcher And The Partridge,trust,betrayal|treachery|desperation|punishment,54,0.4818,317,The Goat And The Donkey,deception,envy|deception|consequences|justice,0.8066,0.3248
57,He laughs best that laughs last.,57,The Heifer and the Ox,fate,fate|irony|consequences|labor,329,0.2952,515,Mercury And The Two Women,fate,divine reward|foolish wishes|irony|consequences,0.6194,0.3242
691,Be content with your lot.,691,A Pike sets up for Sovereignty,hubris,ambition|overreach|knowing one's place|hubris,87,0.4482,555,The Author,contentment,human limitations|divine order|contentment|ambition,0.7692,0.3210
440,"A sinful mind can even change a person's nature, causing it to be impaired.",440,The Mole And His Mother,hubris,disability|disorientation|hubris|irony,140,0.3382,23,The Cat-Maiden,nature,nature|transformation|instinct|identity,0.6591,0.3209
498,He laughs best that laughs last.,498,The Bull And The Bullock,wisdom,idleness|fate|sacrifice|irony,296,0.3006,515,Mercury And The Two Women,fate,divine reward|foolish wishes|irony|consequences,0.6194,0.3188
