moral_id,moral_text,relevant_fable,ranked_ids,reciprocal_rank,r_at_1,r_at_5,r_at_10,ndcg_at_10,rank,latency_s
moral_0422,A hypocrite can usually be found out.,fable_0422,fable_0383|fable_0533|fable_0306|fable_0644|fable_0118|fable_0108|fable_0302|fable_0255|fable_0261|fable_0586,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0423,Every man should be content to mind his own business.,fable_0423,fable_0005|fable_0383|fable_0532|fable_0306|fable_0280|fable_0113|fable_0251|fable_0560|fable_0526|fable_0101,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0424,Hypocritical speeches are easily seen through.,fable_0424,fable_0383|fable_0261|fable_0538|fable_0047|fable_0137|fable_0351|fable_0514|fable_0255|fable_0406|fable_0583,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0425,The safeguards of virtue are hateful to those with evil intentions.,fable_0425,fable_0532|fable_0383|fable_0339|fable_0404|fable_0281|fable_0312|fable_0355|fable_0468|fable_0391|fable_0289,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0426,Caution is far superior to reckless haste and hurry.,fable_0426,fable_0553|fable_0650|fable_0018|fable_0393|fable_0251|fable_0540|fable_0137|fable_0412|fable_0077|fable_0287,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0427,People are willing to risk their lives for the sake of some petty profit.,fable_0427,fable_0532|fable_0383|fable_0258|fable_0525|fable_0665|fable_0153|fable_0174|fable_0256|fable_0181|fable_0576,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0428,"When your adversary is also your judge, don't bother arguing.",fable_0428,fable_0383|fable_0402|fable_0013|fable_0137|fable_0199|fable_0400|fable_0251|fable_0587|fable_0302|fable_0548,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0429,Those who thrive on deception often retaliate against those who speak the truth.,fable_0429,fable_0383|fable_0532|fable_0302|fable_0315|fable_0545|fable_0137|fable_0308|fable_0621|fable_0402|fable_0254,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0430,"No act of kindness, no matter how small, is ever wasted.",fable_0430,fable_0355|fable_0285|fable_0430|fable_0250|fable_0060|fable_0289|fable_0471|fable_0105|fable_0568|fable_0000,0.3333333333333333,0.0,1.0,1.0,0.5,3,0.0
moral_0431,Be careful what you wish for.,fable_0431,fable_0383|fable_0180|fable_0532|fable_0667|fable_0483|fable_0102|fable_0050|fable_0358|fable_0493|fable_0478,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0432,Things you acquire through evil means can be taken from you by evil means.,fable_0432,fable_0383|fable_0532|fable_0406|fable_0315|fable_0100|fable_0420|fable_0650|fable_0192|fable_0258|fable_0670,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0433,You will hurt yourself and accomplish nothing if you try to imitate someone who is far better than you are.,fable_0433,fable_0359|fable_0508|fable_0546|fable_0613|fable_0622|fable_0559|fable_0468|fable_0200|fable_0322|fable_0525,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0434,The greatest gifts are often overlooked in favor of envying others.,fable_0434,fable_0532|fable_0162|fable_0576|fable_0010|fable_0579|fable_0658|fable_0207|fable_0273|fable_0013|fable_0356,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0435,People often make plans that turn out to be to their own disadvantage.,fable_0435,fable_0383|fable_0667|fable_0666|fable_0285|fable_0694|fable_0005|fable_0100|fable_0563|fable_0184|fable_0663,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0436,Someone who cannot manage his own affairs is not qualified to give advice to his neighbours.,fable_0436,fable_0698|fable_0586|fable_0129|fable_0656|fable_0406|fable_0210|fable_0552|fable_0286|fable_0143|fable_0365,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0437,Marrying someone unworthy can lead to a tarnished reputation.,fable_0437,fable_0340|fable_0247|fable_0198|fable_0463|fable_0539|fable_0330|fable_0664|fable_0548|fable_0654|fable_0384,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0438,The true value of money is not in its possession but in its use.,fable_0438,fable_0368|fable_0408|fable_0675|fable_0560|fable_0557|fable_0052|fable_0640|fable_0404|fable_0598|fable_0383,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0439,Boast of one thing and you will be found lacking in that and a few other things as well.,fable_0439,fable_0383|fable_0532|fable_0105|fable_0288|fable_0610|fable_0581|fable_0447|fable_0587|fable_0108|fable_0086,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0440,"A sinful mind can even change a person's nature, causing it to be impaired.",fable_0440,fable_0222|fable_0023|fable_0559|fable_0251|fable_0102|fable_0545|fable_0414|fable_0164|fable_0137|fable_0530,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0441,Those who avoid hardship may miss out on valuable rewards.,fable_0441,fable_0280|fable_0002|fable_0149|fable_0150|fable_0568|fable_0360|fable_0555|fable_0667|fable_0058|fable_0656,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0442,The best intentions will not always ensure success.,fable_0442,fable_0383|fable_0547|fable_0302|fable_0653|fable_0281|fable_0358|fable_0667|fable_0527|fable_0016|fable_0575,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0443,Tear out vice by the roots and the branches will wither away.,fable_0443,fable_0690|fable_0105|fable_0522|fable_0082|fable_0160|fable_0689|fable_0464|fable_0052|fable_0653|fable_0575,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0444,"In conflicts between powerful parties, bystanders may suffer unintended consequences.",fable_0444,fable_0383|fable_0532|fable_0280|fable_0138|fable_0013|fable_0705|fable_0140|fable_0454|fable_0391|fable_0590,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0445,Appearances can be deceiving.,fable_0445,fable_0383|fable_0105|fable_0101|fable_0611|fable_0110|fable_0530|fable_0710|fable_0537|fable_0424|fable_0484,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0446,If often happens that even honest people do not hesitate to persecute someone who has slandered them.,fable_0446,fable_0532|fable_0302|fable_0137|fable_0545|fable_0383|fable_0530|fable_0650|fable_0593|fable_0647|fable_0446,0.1,0.0,0.0,1.0,0.2890648263178879,10,0.0
moral_0447,"There is little risk in being poor, while being rich can get you into trouble.",fable_0447,fable_0411|fable_0357|fable_0492|fable_0035|fable_0577|fable_0689|fable_0707|fable_0346|fable_0194|fable_0263,0.0,0.0,0.0,0.0,0.0,,0.0
moral_0448,There's no reading of ourselves but with other mans eyes.,fable_0448,fable_0549|fable_0586|fable_0498|fable_0550|fable_0010|fable_0302|fable_0101|fable_0209|fable_0384|fable_0265,0.0,0.0,0.0,0.0,0.0,,0.0
