run_id,model_alias,model_id,instruction_variant,corpus_config,summary_generator,summary_generator_model_id,generator_prompt_variant,MAP@10,MRR@10,NDCG@10,Recall@5,Recall@10,Recall@15,Recall@50,Recall@100,Recall@200,Recall@300,Hit@1,Hit@5,Hit@10,Hit@100,Mean_Rank,Median_Rank,n_queries,error
BGE-base-en-v1.5__default__conceptual_abstract_fable__gemma4-31B__conceptual_abstract,BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,default,conceptual_abstract_fable,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.15302,0.211441,0.19728,0.214546,0.287874,0.326023,0.498229,0.621307,0.764072,0.843638,0.128743,0.278443,0.363772,0.703593,99.06,24.5,668,
BGE-base-en-v1.5__default__conceptual_abstract_only__gemma4-31B__conceptual_abstract,BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,default,conceptual_abstract_only,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.159314,0.229649,0.203633,0.215594,0.281287,0.314247,0.465319,0.580264,0.723478,0.799701,0.149701,0.302395,0.375749,0.670659,117.28,32.0,668,
BGE-base-en-v1.5__default__fable_conceptual_abstract__gemma4-31B__conceptual_abstract,BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,default,fable_conceptual_abstract,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.106493,0.14758,0.138643,0.160005,0.207809,0.243513,0.398253,0.538348,0.679117,0.761452,0.076347,0.208084,0.267964,0.627246,129.29,55.0,668,
BGE-base-en-v1.5__default__cot_proverb_fable__gemma4-31B__cot_proverb,BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,default,cot_proverb_fable,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.126682,0.175931,0.164903,0.192665,0.246407,0.29733,0.458308,0.560155,0.703568,0.797081,0.103293,0.242515,0.30988,0.651198,118.1,34.5,668,
BGE-base-en-v1.5__default__cot_proverb_only__gemma4-31B__cot_proverb,BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,default,cot_proverb_only,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.122558,0.1735,0.159378,0.173303,0.229641,0.261003,0.385579,0.498777,0.631138,0.732784,0.109281,0.233533,0.291916,0.580838,152.06,66.5,668,
BGE-base-en-v1.5__default__fable_cot_proverb__gemma4-31B__cot_proverb,BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,default,fable_cot_proverb,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.099268,0.134229,0.128367,0.137076,0.196233,0.226472,0.396831,0.486727,0.646008,0.746781,0.077844,0.169162,0.251497,0.577844,139.45,60.5,668,
BGE-base-en-v1.5__default__direct_moral_fable__gemma4-31B__direct_moral,BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,default,direct_moral_fable,gemma4-31B,google/gemma-4-31B-it,direct_moral,0.165346,0.228516,0.209471,0.225524,0.297056,0.351971,0.51275,0.636228,0.774925,0.848553,0.152695,0.290419,0.381737,0.718563,92.96,23.0,668,
BGE-base-en-v1.5__default__direct_moral_only__gemma4-31B__direct_moral,BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,default,direct_moral_only,gemma4-31B,google/gemma-4-31B-it,direct_moral,0.18649,0.255625,0.227518,0.234132,0.294536,0.352445,0.533059,0.633608,0.77258,0.847605,0.184132,0.315868,0.384731,0.70509,100.14,26.0,668,
BGE-base-en-v1.5__default__fable_direct_moral__gemma4-31B__direct_moral,BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,default,fable_direct_moral,gemma4-31B,google/gemma-4-31B-it,direct_moral,0.106318,0.150747,0.138192,0.158957,0.204691,0.245384,0.405264,0.537026,0.689072,0.771332,0.086826,0.20509,0.269461,0.63024,127.88,49.0,668,
BGE-base-en-v1.5__default__fable_proverb__gemma4-31B__proverb,BGE-base-en-v1.5,BAAI/bge-base-en-v1.5,default,fable_proverb,gemma4-31B,google/gemma-4-31B-it,proverb,0.060525,0.086088,0.07959,0.086228,0.125499,0.149376,0.299227,0.407385,0.577844,0.701547,0.041916,0.106287,0.161677,0.510479,167.4,92.0,668,
