query_moral_idx,query_moral,query_moral_category,top1_fable_idx,top1_moral_idx,top1_moral,top1_moral_category,shared_moral_category,moral_moral_sim,gt_rank,score_gap
85,Be content with your lot; one cannot be first in everything.,vanity,270,270,Be content with your lot; one cannot be first in everything.,contentment,False,1.0005,2,0.0302
333,A life of greed and hoarding wealth leads to misery.,fate,707,707,A life of greed and hoarding wealth leads to misery.,greed,False,1.0004,3,0.0333
190,He that is neither one thing nor the other has no friends.,trust,13,13,He that is neither one thing nor the other has no friends.,trust,True,1.0003,2,0.0647
98,"Destroy the seed of evil, or it will grow up to your ruin.",wisdom,611,611,"Destroy the seed of evil, or it will grow up to your ruin.",wisdom,True,1.0002,2,0.0350
45,Look before you leap.,deception,393,393,Look before you leap.,wisdom,False,1.0000,3,0.0483
59,Self-help is the best help.,wisdom,66,66,Self-help is the best help.,wisdom,True,1.0000,2,0.0067
138,Self-help is the best help.,wisdom,66,66,Self-help is the best help.,wisdom,True,1.0000,8,0.2579
242,Look before you leap.,deception,393,393,Look before you leap.,wisdom,False,1.0000,6,0.1462
245,It is useless attacking the insensible.,wisdom,92,92,It is useless attacking the insensible.,wisdom,True,1.0000,2,0.1241
180,An invitation prompted by selfishness is not to be accepted.,deception,113,113,An invitation prompted by selfishness is not to be accepted.,deception,True,0.9998,29,0.1359
564,A little thing in hand is worth more than a great thing in prospect.,wisdom,36,36,A little thing in hand is worth more than a great thing in prospect.,wisdom,True,0.9995,3,0.0293
616,Greed often overreaches itself.,greed,50,50,Greed often overreaches itself.,greed,True,0.9995,7,0.1533
158,Some things you cannot change.,nature,120,120,Some things you cannot change.,nature,True,0.9993,2,0.0022
348,Nothing escapes the master's eye.,wisdom,55,55,Nothing escapes the master's eye,wisdom,True,0.9770,2,0.0228
30,People often grudge others what they cannot enjoy themselves.,greed,483,483,Some begrudge others what they cannot enjoy themselves.,greed,True,0.9753,2,0.0515
122,There is always someone else worse off than you.,contentment,52,52,There is always someone worse off than yourself.,courage,False,0.9728,4,0.1470
694,True friends are hard to come by.,friendship,173,173,True friends are hard to find.,friendship,True,0.9718,2,0.0825
38,Union is strength.,friendship,511,511,Union gives strength.,wisdom,False,0.9685,2,0.0043
111,Quality is better than quantity.,pride,377,377,Quality is more valuable than quantity.,pride,True,0.9525,2,0.0486
278,Be careful what you wish for.,wisdom,431,431,Be careful what you wish for; your wish may be granted.,wisdom,True,0.9471,76,0.4864
617,Be careful what you wish for.,contentment,431,431,Be careful what you wish for; your wish may be granted.,wisdom,False,0.9471,58,0.4761
8,"Fine clothes may disguise, but silly words will disclose a fool.",vanity,316,316,"Clothes may disguise a fool, but his words will give him away.",pride,False,0.9219,2,0.0093
43,Flatters are not to be trusted.,vanity,44,44,Do not trust flatterers.,vanity,True,0.9202,3,0.1330
620,Flatters are not to be trusted.,deception,44,44,Do not trust flatterers.,vanity,False,0.9202,2,0.1137
204,Someone who lays a trap for others will fall victim to it himself.,trust,317,317,People who lay traps for others bring about their own destruction.,deception,False,0.9174,54,0.3248
187,Those who seek to please everybody please nobody.,vanity,78,78,Try to please all and you end by pleasing none.,wisdom,False,0.9147,20,0.4199
205,People who lay traps for others should be careful not to fall into a trap themselves.,justice,317,317,People who lay traps for others bring about their own destruction.,deception,False,0.8898,13,0.1560
183,Do not attempt the impossible.,pride,292,292,Do not try to do impossible things.,greed,False,0.8762,21,0.3746
386,Someone who plots against others falls into his own trap.,wisdom,317,317,People who lay traps for others bring about their own destruction.,deception,False,0.8752,4,0.0570
685,"People should not be judged by their appearances, but by their actions.",deception,546,546,Don't judge character by appearance.,wisdom,False,0.8713,5,0.1689
597,Flatterers and deceivers are not to be trusted.,deception,44,44,Do not trust flatterers.,vanity,False,0.8609,52,0.2101
545,Any excuse will serve a tyrant.,justice,238,238,Tyrants need no excuse.,justice,True,0.8516,2,0.0062
677,"People are to be judged by their actions, not by their appearance.",deception,546,546,Don't judge character by appearance.,wisdom,False,0.8391,3,0.0933
248,A discerning person is made wise by the misfortunes of his neighbours.,deception,68,68,Happy is the man who learns from the misfortunes of others.,wisdom,False,0.8372,2,0.0656
49,Old friends should not be sacrificed for new ones.,trust,595,595,Do not neglect the loyalty of old friends to please new acquaintances.,wisdom,False,0.8323,2,0.0467
595,Do not neglect the loyalty of old friends to please new acquaintances.,wisdom,49,49,Old friends should not be sacrificed for new ones.,trust,False,0.8323,2,0.0033
234,Familiarity mollifies even the most terrifying things.,wisdom,385,385,Familiarity makes it easy to confront even frightening situations.,courage,False,0.8310,2,0.0460
395,The things that a person does to others will happen to him in turn.,justice,216,216,"What you have done to others will likewise be done to you, according to the same measure.",justice,True,0.8162,11,0.1028
561,The weak may find a way to avenge a wrong.,justice,163,163,Even a high and mighty person should beware of his inferiors; their ingenuity can find a way to take revenge.,justice,True,0.8156,5,0.0375
379,Take warning from the misfortunes of others.,wisdom,68,68,Happy is the man who learns from the misfortunes of others.,wisdom,True,0.8154,2,0.0323
19,Do not attempt too much at once.,greed,347,347,Do not try to grasp too much at once.,greed,True,0.8113,6,0.1028
583,Look at the source when placing the blame.,justice,509,509,Use care to place your blame on the right person.,justice,True,0.8109,4,0.0870
660,"Nothing should be condemned, since there is nothing so worthless and humble that it cannot at some time or another prove to be useful.",pride,704,704,No one is so contemptible that he cannot be of use to us in some way.,wisdom,False,0.8092,11,0.1775
264,"You must not act unnaturally, trying to achieve some impossible thing.",wisdom,292,292,Do not try to do impossible things.,greed,False,0.8045,11,0.1642
505,There is no wealth greater than liberty.,contentment,547,547,There is nothing more valuable than liberty.,freedom,False,0.8024,2,0.0408
658,There is no wealth greater than liberty.,courage,547,547,There is nothing more valuable than liberty.,freedom,False,0.8024,5,0.0886
367,We should do favours for someone who can do us a good deed in return.,wisdom,146,146,Return favors and favors will be bestowed on you.,friendship,False,0.7958,6,0.0741
690,"It is very unwise, even for the greatest of men, to provoke the least, as they may find a way to enact revenge.",justice,561,561,The weak may find a way to avenge a wrong.,justice,True,0.7946,15,0.1556
140,"When people plot against their neighbours, they fall victim to the same sort of plot themselves.",fate,317,317,People who lay traps for others bring about their own destruction.,deception,False,0.7916,25,0.2204
560,Kindness is never wasted.,friendship,430,430,"No act of kindness, no matter how small, is ever wasted",friendship,True,0.7916,3,0.1793
91,One good turn deserves another.,ingratitude,250,250,Those who do you a favour you must repay kind.,friendship,False,0.7827,4,0.0287
151,One good turn deserves another.,friendship,250,250,Those who do you a favour you must repay kind.,friendship,True,0.7827,3,0.0074
402,Those who scheme against others may ultimately fall victim to their own plots.,justice,317,317,People who lay traps for others bring about their own destruction.,deception,False,0.7789,4,0.0388
154,Brag and nature may bring you down.,pride,598,598,Do not boast lest you be taken down.,pride,True,0.7723,8,0.0902
678,No one can be safe in peace unless they are always ready to face an enemy in case of war.,trust,214,214,Preparedness for war is the best guarantee of peace.,wisdom,False,0.7660,3,0.1366
1,Appearances are deceptive.,pride,677,677,"People are to be judged by their actions, not by their appearance.",deception,False,0.7650,8,0.1381
117,Appearances are deceptive.,deception,677,677,"People are to be judged by their actions, not by their appearance.",deception,True,0.7650,4,0.0687
