model_alias,model_id,instruction_variant,corpus_config,corpus_description,corpus_template,summary_generator,summary_generator_model_id,generator_prompt_variant,exp_id,MAP@10,MRR@10,NDCG@10,Recall@5,Recall@10,Recall@15,Recall@50,Recall@100,Recall@200,Recall@300,Hit@1,Hit@5,Hit@10,Hit@100,ft_experiment,ft_model_key,train_source,train_corpus_config,train_corpus_description,train_corpus_template,train_summary_generator,train_summary_generator_model_id,train_generator_prompt_variant,storal_size,storal_n_requested,storal_length_range,loss,temperature,epochs,early_stopping_metric,seed,batch_size,gradient_accumulation_steps,learning_rate,lora_r,lora_alpha,lora_dropout,model_output_dir,notes
SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,raw,Original fable text only.,{fable},,,,2026-05-19_14-25-40_saved_model_eval,0.393198,0.443184,0.449954,0.485574,0.611965,0.672485,0.843422,0.899538,0.962559,0.976817,0.327842,0.568814,0.670576,0.91616,ft_11_clustered_5fcv,sfr,clustered_morables_5fold_cv,raw,Original fable text only.,{fable},,,,,,,InfoNCE,0.05,10,ndcg@10,42,2,8,0.0001,64,128,0.05,/data/lior/ft_11_clustered/models/sfr,Raw-trained 5-fold clustered MORABLES model evaluated on this corpus config; metrics aggregate across completed folds.
SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,direct_moral_only,Generated direct moral only.,{direct_moral},gemini,gemini-3-flash-preview,direct_moral,2026-05-19_14-25-40_saved_model_eval,0.410064,0.465,0.455949,0.496267,0.577379,0.633535,0.772602,0.856366,0.921251,0.952059,0.353294,0.586758,0.664594,0.896622,ft_11_clustered_5fcv,sfr,clustered_morables_5fold_cv,raw,Original fable text only.,{fable},,,,,,,InfoNCE,0.05,10,ndcg@10,42,2,8,0.0001,64,128,0.05,/data/lior/ft_11_clustered/models/sfr,Raw-trained 5-fold clustered MORABLES model evaluated on this corpus config; metrics aggregate across completed folds.
SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,direct_moral_only,Generated direct moral only.,{direct_moral},gemma4-E2B,google/gemma-4-E2B-it,direct_moral,,,,,,,,,,,,,,,,ft_11_clustered_5fcv,sfr,clustered_morables_5fold_cv,raw,Original fable text only.,{fable},,,,,,,InfoNCE,0.05,10,ndcg@10,42,2,8,0.0001,64,128,0.05,/data/lior/ft_11_clustered/models/sfr,Raw-trained 5-fold clustered MORABLES model evaluated on this corpus config; metrics aggregate across completed folds.
SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,direct_moral_only,Generated direct moral only.,{direct_moral},gemma4-E4B,google/gemma-4-E4B-it,direct_moral,,,,,,,,,,,,,,,,ft_11_clustered_5fcv,sfr,clustered_morables_5fold_cv,raw,Original fable text only.,{fable},,,,,,,InfoNCE,0.05,10,ndcg@10,42,2,8,0.0001,64,128,0.05,/data/lior/ft_11_clustered/models/sfr,Raw-trained 5-fold clustered MORABLES model evaluated on this corpus config; metrics aggregate across completed folds.
SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,direct_moral_only,Generated direct moral only.,{direct_moral},gemma4-31B,google/gemma-4-31B-it,direct_moral,,,,,,,,,,,,,,,,ft_11_clustered_5fcv,sfr,clustered_morables_5fold_cv,raw,Original fable text only.,{fable},,,,,,,InfoNCE,0.05,10,ndcg@10,42,2,8,0.0001,64,128,0.05,/data/lior/ft_11_clustered/models/sfr,Raw-trained 5-fold clustered MORABLES model evaluated on this corpus config; metrics aggregate across completed folds.
SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,conceptual_abstract_only,Generated conceptual abstract only.,{conceptual_abstract},gemini,gemini-3-flash-preview,conceptual_abstract,2026-05-19_14-25-40_saved_model_eval,0.394429,0.44891,0.440291,0.466131,0.572843,0.632271,0.799023,0.874423,0.932408,0.957701,0.347279,0.550836,0.649613,0.904163,ft_11_clustered_5fcv,sfr,clustered_morables_5fold_cv,raw,Original fable text only.,{fable},,,,,,,InfoNCE,0.05,10,ndcg@10,42,2,8,0.0001,64,128,0.05,/data/lior/ft_11_clustered/models/sfr,Raw-trained 5-fold clustered MORABLES model evaluated on this corpus config; metrics aggregate across completed folds.
SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,conceptual_abstract_only,Generated conceptual abstract only.,{conceptual_abstract},gemma4-E2B,google/gemma-4-E2B-it,conceptual_abstract,,,,,,,,,,,,,,,,ft_11_clustered_5fcv,sfr,clustered_morables_5fold_cv,raw,Original fable text only.,{fable},,,,,,,InfoNCE,0.05,10,ndcg@10,42,2,8,0.0001,64,128,0.05,/data/lior/ft_11_clustered/models/sfr,Raw-trained 5-fold clustered MORABLES model evaluated on this corpus config; metrics aggregate across completed folds.
SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,conceptual_abstract_only,Generated conceptual abstract only.,{conceptual_abstract},gemma4-E4B,google/gemma-4-E4B-it,conceptual_abstract,,,,,,,,,,,,,,,,ft_11_clustered_5fcv,sfr,clustered_morables_5fold_cv,raw,Original fable text only.,{fable},,,,,,,InfoNCE,0.05,10,ndcg@10,42,2,8,0.0001,64,128,0.05,/data/lior/ft_11_clustered/models/sfr,Raw-trained 5-fold clustered MORABLES model evaluated on this corpus config; metrics aggregate across completed folds.
SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,conceptual_abstract_only,Generated conceptual abstract only.,{conceptual_abstract},gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,,,,,,,,,,,,,,,,ft_11_clustered_5fcv,sfr,clustered_morables_5fold_cv,raw,Original fable text only.,{fable},,,,,,,InfoNCE,0.05,10,ndcg@10,42,2,8,0.0001,64,128,0.05,/data/lior/ft_11_clustered/models/sfr,Raw-trained 5-fold clustered MORABLES model evaluated on this corpus config; metrics aggregate across completed folds.
SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,proverb_only,Generated proverb only.,{proverb},gemini,gemini-3-flash-preview,proverb,2026-05-19_14-25-40_saved_model_eval,0.352018,0.394205,0.396144,0.434286,0.524655,0.582844,0.728874,0.820128,0.892523,0.932223,0.288755,0.519369,0.598676,0.860678,ft_11_clustered_5fcv,sfr,clustered_morables_5fold_cv,raw,Original fable text only.,{fable},,,,,,,InfoNCE,0.05,10,ndcg@10,42,2,8,0.0001,64,128,0.05,/data/lior/ft_11_clustered/models/sfr,Raw-trained 5-fold clustered MORABLES model evaluated on this corpus config; metrics aggregate across completed folds.
SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,proverb_only,Generated proverb only.,{proverb},gemma4-E2B,google/gemma-4-E2B-it,proverb,,,,,,,,,,,,,,,,ft_11_clustered_5fcv,sfr,clustered_morables_5fold_cv,raw,Original fable text only.,{fable},,,,,,,InfoNCE,0.05,10,ndcg@10,42,2,8,0.0001,64,128,0.05,/data/lior/ft_11_clustered/models/sfr,Raw-trained 5-fold clustered MORABLES model evaluated on this corpus config; metrics aggregate across completed folds.
SFR-Embedding-Mistral,Salesforce/SFR-Embedding-Mistral,moral_specific,proverb_only,Generated proverb only.,{proverb},gemma4-E4B,google/gemma-4-E4B-it,proverb,,,,,,,,,,,,,,,,ft_11_clustered_5fcv,sfr,clustered_morables_5fold_cv,raw,Original fable text only.,{fable},,,,,,,InfoNCE,0.05,10,ndcg@10,42,2,8,0.0001,64,128,0.05,/data/lior/ft_11_clustered/models/sfr,Raw-trained 5-fold clustered MORABLES model evaluated on this corpus config; metrics aggregate across completed folds.
