run_id,model_alias,model_id,instruction_variant,corpus_config,summary_generator,summary_generator_model_id,generator_prompt_variant,MAP@10,MRR@10,NDCG@10,Recall@5,Recall@10,Recall@15,Recall@50,Recall@100,Recall@200,Recall@300,Hit@1,Hit@5,Hit@10,Hit@100,Mean_Rank,Median_Rank,n_queries,error
E5-mistral-7b__general__conceptual_abstract_fable__gemma4-31B__conceptual_abstract,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,general,conceptual_abstract_fable,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.089482,0.148108,0.116155,0.125599,0.150324,0.182435,0.325848,0.453942,0.654541,0.796607,0.095808,0.194611,0.221557,0.546407,140.62,83.0,668,
E5-mistral-7b__general__conceptual_abstract_only__gemma4-31B__conceptual_abstract,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,general,conceptual_abstract_only,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.218748,0.287935,0.26737,0.287026,0.355664,0.394037,0.557909,0.669087,0.777046,0.851148,0.211078,0.366766,0.443114,0.741018,95.01,19.0,668,
E5-mistral-7b__general__fable_conceptual_abstract__gemma4-31B__conceptual_abstract,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,general,fable_conceptual_abstract,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.251295,0.318655,0.309338,0.337999,0.42525,0.482086,0.657784,0.762824,0.865145,0.908483,0.22006,0.426647,0.507485,0.82485,63.01,10.0,668,
E5-mistral-7b__general__cot_proverb_fable__gemma4-31B__cot_proverb,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,general,cot_proverb_fable,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.085652,0.138653,0.113961,0.124276,0.157161,0.186003,0.306662,0.428169,0.63755,0.766717,0.080838,0.188623,0.233533,0.528443,147.16,85.0,668,
E5-mistral-7b__general__cot_proverb_only__gemma4-31B__cot_proverb,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,general,cot_proverb_only,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.157809,0.210619,0.197896,0.21512,0.273952,0.325549,0.440644,0.533408,0.641517,0.724726,0.140719,0.272455,0.333832,0.598802,158.06,46.0,668,
E5-mistral-7b__general__fable_cot_proverb__gemma4-31B__cot_proverb,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,general,fable_cot_proverb,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.239748,0.307596,0.28975,0.320634,0.38261,0.424925,0.591742,0.693039,0.799401,0.849925,0.223054,0.396707,0.465569,0.76497,86.73,15.0,668,
E5-mistral-7b__general__direct_moral_fable__gemma4-31B__direct_moral,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,general,direct_moral_fable,gemma4-31B,google/gemma-4-31B-it,direct_moral,0.097038,0.156811,0.127801,0.1375,0.172355,0.205963,0.321981,0.453643,0.652844,0.784755,0.101796,0.208084,0.247006,0.54491,140.26,83.5,668,
E5-mistral-7b__general__direct_moral_only__gemma4-31B__direct_moral,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,general,direct_moral_only,gemma4-31B,google/gemma-4-31B-it,direct_moral,0.219824,0.288391,0.26986,0.285928,0.364147,0.416093,0.569237,0.675175,0.785828,0.844286,0.206587,0.366766,0.450599,0.747006,91.22,15.0,668,
E5-mistral-7b__general__fable_direct_moral__gemma4-31B__direct_moral,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,general,fable_direct_moral,gemma4-31B,google/gemma-4-31B-it,direct_moral,0.259297,0.33358,0.318232,0.33765,0.435205,0.490319,0.658957,0.75267,0.852295,0.914346,0.245509,0.429641,0.522455,0.811377,65.25,8.5,668,
E5-mistral-7b__general__fable_proverb__gemma4-31B__proverb,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,general,fable_proverb,gemma4-31B,google/gemma-4-31B-it,proverb,0.220536,0.29528,0.273317,0.289197,0.375274,0.425324,0.616143,0.719187,0.828219,0.898353,0.211078,0.36976,0.468563,0.797904,71.6,13.0,668,
E5-mistral-7b__general__proverb_fable__gemma4-31B__proverb,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,general,proverb_fable,gemma4-31B,google/gemma-4-31B-it,proverb,0.063707,0.105886,0.087624,0.097505,0.127046,0.148528,0.256637,0.392365,0.57016,0.737026,0.055389,0.151198,0.187126,0.486527,167.55,105.0,668,
E5-mistral-7b__general__proverb_only__gemma4-31B__proverb,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,general,proverb_only,gemma4-31B,google/gemma-4-31B-it,proverb,0.003686,0.013096,0.006321,0.005988,0.012725,0.019711,0.067066,0.131786,0.272754,0.416567,0.001497,0.008982,0.019461,0.196108,314.95,292.0,668,
E5-mistral-7b__no_instr__conceptual_abstract_fable__gemma4-31B__conceptual_abstract,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,no_instr,conceptual_abstract_fable,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.083611,0.135408,0.110405,0.109855,0.151771,0.175349,0.304366,0.451198,0.625998,0.761926,0.086826,0.17515,0.224551,0.534431,149.5,92.0,668,
E5-mistral-7b__no_instr__conceptual_abstract_only__gemma4-31B__conceptual_abstract,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,no_instr,conceptual_abstract_only,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.199919,0.273192,0.245313,0.257086,0.320983,0.368189,0.518513,0.618738,0.745634,0.830913,0.199102,0.348802,0.41018,0.687126,105.28,23.0,668,
E5-mistral-7b__no_instr__fable_conceptual_abstract__gemma4-31B__conceptual_abstract,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,no_instr,fable_conceptual_abstract,gemma4-31B,google/gemma-4-31B-it,conceptual_abstract,0.236503,0.306725,0.290268,0.306612,0.392191,0.431362,0.621183,0.720359,0.828718,0.894336,0.217066,0.390719,0.47006,0.784431,72.25,13.5,668,
E5-mistral-7b__no_instr__cot_proverb_fable__gemma4-31B__cot_proverb,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,no_instr,cot_proverb_fable,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.073129,0.11837,0.09971,0.10731,0.144686,0.170559,0.281886,0.413298,0.612226,0.766193,0.065868,0.163174,0.217066,0.498503,154.53,101.0,668,
E5-mistral-7b__no_instr__cot_proverb_only__gemma4-31B__cot_proverb,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,no_instr,cot_proverb_only,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.158486,0.208216,0.197817,0.220534,0.27248,0.305165,0.418463,0.505015,0.623453,0.729666,0.136228,0.27994,0.336826,0.583832,159.6,55.5,668,
E5-mistral-7b__no_instr__fable_cot_proverb__gemma4-31B__cot_proverb,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,no_instr,fable_cot_proverb,gemma4-31B,google/gemma-4-31B-it,cot_proverb,0.2303,0.292789,0.278541,0.296332,0.368987,0.413473,0.558034,0.665694,0.787475,0.841816,0.211078,0.368263,0.452096,0.73503,93.59,17.0,668,
E5-mistral-7b__no_instr__direct_moral_fable__gemma4-31B__direct_moral,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,no_instr,direct_moral_fable,gemma4-31B,google/gemma-4-31B-it,direct_moral,0.085727,0.137483,0.114682,0.116966,0.160903,0.180963,0.299426,0.437275,0.64269,0.763648,0.08982,0.181138,0.230539,0.523952,148.06,90.0,668,
E5-mistral-7b__no_instr__direct_moral_only__gemma4-31B__direct_moral,E5-mistral-7b,intfloat/e5-mistral-7b-instruct,no_instr,direct_moral_only,gemma4-31B,google/gemma-4-31B-it,direct_moral,0.204983,0.273778,0.253813,0.260429,0.346108,0.396407,0.567515,0.67525,0.763698,0.831213,0.196108,0.341317,0.437126,0.745509,97.91,18.0,668,
