model_alias,model_hf_id,corpus_config,summary_generator,summary_variant,corpus_type,zero_shot_MRR@10,original_ft_MRR@10,delta_MRR,zero_shot_R@1,original_ft_R@1,zero_shot_R@5,original_ft_R@5,zero_shot_NDCG@10,original_ft_NDCG@10
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,raw,none,—,raw,0.2107,0.2093,-0.0014,0.1410,0.1241,0.2835,0.2764,0.2371,0.2350
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemini/cot_proverb/fable+summary,gemini,cot_proverb,fable_summary,0.3597,0.3672,+0.0075,0.2511,0.2609,0.4683,0.4781,0.4029,0.4071
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemini/direct_moral/fable+summary,gemini,direct_moral,fable_summary,0.3502,0.3547,+0.0045,0.2355,0.2511,0.4824,0.4683,0.3945,0.3945
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemini/conceptual_abstract/fable+summary,gemini,conceptual_abstract,fable_summary,0.3481,0.3580,+0.0099,0.2341,0.2539,0.4654,0.4626,0.3922,0.4005
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemini/cot_proverb/summary_only,gemini,cot_proverb,summary_only,0.3031,0.3056,+0.0025,0.2102,0.2102,0.4006,0.4104,0.3391,0.3433
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemini/cot_proverb/summary+fable,gemini,cot_proverb,summary+fable,0.3499,0.3517,+0.0018,0.2370,0.2384,0.4683,0.4711,0.3939,0.3904
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemma4-E2B/direct_moral/fable+summary,gemma4-E2B,direct_moral,fable_summary,0.2212,n/a (summaries not pulled),,0.1396,,0.2849,,0.2483,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemma4-E2B/direct_moral/summary_only,gemma4-E2B,direct_moral,summary_only,0.1411,n/a (summaries not pulled),,0.0790,,0.1989,,0.1609,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemma4-E4B/thinking_direct_moral/fable+summary,gemma4-E4B,thinking_direct_moral,fable_summary,0.2502,n/a (summaries not pulled),,0.1580,,0.3540,,0.2821,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemma4-E4B/thinking_direct_moral/summary_only,gemma4-E4B,thinking_direct_moral,summary_only,0.2306,n/a (summaries not pulled),,0.1509,,0.3117,,0.2572,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemma4-31B/conceptual_abstract/fable+summary,gemma4-31B,conceptual_abstract,fable_summary,0.3015,n/a (summaries not pulled),,0.2003,,0.4104,,0.3386,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,gemma4-31B/conceptual_abstract/summary_only,gemma4-31B,conceptual_abstract,summary_only,0.2619,n/a (summaries not pulled),,0.1749,,0.3512,,0.2909,
BGE-en-ICL,BAAI/bge-en-icl,raw,none,—,raw,0.1659,,,0.1100,,0.2144,,0.1820,
BGE-en-ICL,BAAI/bge-en-icl,gemini/cot_proverb/fable+summary,gemini,cot_proverb,fable_summary,0.3184,,,0.2228,,0.4090,,0.3499,
BGE-en-ICL,BAAI/bge-en-icl,gemini/direct_moral/fable+summary,gemini,direct_moral,fable_summary,0.3212,,,0.2214,,0.4316,,0.3590,
BGE-en-ICL,BAAI/bge-en-icl,gemini/conceptual_abstract/fable+summary,gemini,conceptual_abstract,fable_summary,0.3235,,,0.2243,,0.4189,,0.3551,
BGE-en-ICL,BAAI/bge-en-icl,gemini/cot_proverb/summary_only,gemini,cot_proverb,summary_only,0.2963,,,0.2073,,0.3935,,0.3296,
BGE-en-ICL,BAAI/bge-en-icl,gemini/cot_proverb/summary+fable,gemini,cot_proverb,summary+fable,0.3002,,,0.2059,,0.3935,,0.3401,
BGE-en-ICL,BAAI/bge-en-icl,gemma4-E2B/direct_moral/fable+summary,gemma4-E2B,direct_moral,fable_summary,,,,,,,,,
