area,experiment_id,experiment_group,existing_result_artifacts,ranking_artifact_status,clustered_update_mode,can_recalculate_now,must_rerun_for_official_clustered_results,next_action_after_final_review,priority,notes
embedding,exp_02,Original full embedding model comparison,"results/runs/2026-03-15_combined_v2/results.json; results/runs/2026-03-15_combined_v2/predictions/*.json","Full 709-doc rankings saved for 45 model/instruction runs","metric_only_recalculation",yes,no,"Run clustered recalculation over every prediction JSON and write a clustered summary CSV.",high,"Best immediate target. Supports full-depth metrics such as MRR, MAP@10, Hit/Recall@10/50/100/200/300 because top_k=709 was saved."
embedding,exp_05,Qwen3 embedding prompt experiments,"experiments/05_qwen3_embedding/results/*/results.json; experiments/05_qwen3_embedding/results/*/predictions/*.json","Only top-10 predictions saved for 13 runs","partial_top10_recalculation",partial,yes_for_full_depth,"Recalculate top-10 clustered metrics now if useful; rerun scoring to get full rankings and Recall@100/200/300.",medium,"Top-10 files can support MRR@10, MAP@10, Hit@10, Recall@10, NDCG@10 only. Full clustered benchmark needs reranking all 709 docs."
embedding,exp_11,Embedding baseline add-on models,"experiments/11_embedding_baselines/results/*.json; experiments/11_embedding_baselines/cache/embeddings","Cached raw embeddings exist for BGE-en-ICL, Nomic-Embed-v2-MoE, Qwen3-Embedding-8B; no prediction rankings found","recompute_score_matrix_from_cache_or_rerun_encoding",partial,yes_for_models_without_cache,"Use cached doc embeddings where available, encode final unique moral queries, then compute clustered metrics. Rerun missing models normally.",high,"This is cheap compared with training. Existing old moral embeddings are not enough for final query text if canonical morals change."
embedding,exp_12,Zero-shot comprehensive matrix,"experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv","Aggregate CSV only; local cache directory not present","rerun_scoring_only",no,yes,"Rerun zero-shot eval on final clustered query set and make it save rankings for future metric changes.",high,"120 completed rows exist, but no rankings/embeddings were found locally. No LLM generation needed; this is embedding scoring."
embedding_with_summaries,exp_07,SOTA summarization oracle full 709,"experiments/07_sota_summarization_oracle/results/generation_runs/full_709/golden_summaries.json; retrieval_results_all_variants.json","Summaries saved; aggregate retrieval metrics only","rerun_embedding_scoring_using_saved_summaries",no,yes,"Reuse saved oracle summaries and rerun retrieval scoring against clustered qrels.",high,"No need to regenerate oracle summaries unless the fable documents themselves change."
embedding_with_summaries,exp_13,Gemma/Gemini GPU summarization evaluation,"experiments/13_gemma4_gpu_summarization/results/*_eval*.csv","Aggregate CSV only; no prediction rankings found","rerun_eval_scoring_maybe_regenerate_if_missing_summaries",no,yes,"Check whether generated summaries exist off-repo/remote; rerun eval over final clustered qrels and save rankings.",medium,"112 completed rows in the master ledger. If summary artifacts are unavailable, generation may need to be repeated."
embedding_with_summaries,exp_09,Gemma4 summarization smoke/early runs,"experiments/09_gemma4_summarization/results/generation_runs/*/golden_summaries.json; results/runs/*/results.json; embedding_cache/*.npy","Generated summaries and some embedding cache exist; no full prediction rankings found","rerun_scoring_using_saved_summaries",partial,yes,"Reuse saved generated summaries where useful; rerun clustered scoring only.",low,"Mostly superseded by exp_13, but useful for historical comparison."
embedding_with_summaries,exp_03,Qwen LLM summarisation approach B,"experiments/03_llm_summarisation/results/approach_b_results.csv","Aggregate CSV only; generated summary files not found in results folder","rerun_generation_or_reconstruct_then_score",no,yes,"Only rerun if this historical approach still matters after exp_07/13.",low,"Likely lower priority because later oracle/Gemma summary experiments supersede it."
embedding,exp_06,Sentence chunking,"experiments/06_sentence_chunking/results/2026-03-29_11-23-18/results.json","Aggregate JSON only; no rankings found","rerun_scoring",no,yes,"Rerun chunking retrieval on final clustered benchmark if chunking remains in paper scope.",low,"Not a priority unless sentence-level retrieval is discussed."
embedding,exp_01,Baseline/improved retrieval,"experiments/01_baselines/results/*.json","Aggregate JSON only; no rankings found","rerun_scoring",no,yes,"Rerun only if old baseline tables need clustered numbers.",low,"Mostly superseded by exp_02/12."
