model_alias,model_id,experiment_id,run_id,task_direction,corpus_config,doc_template,query_instruction_variant_original,query_instruction_group,query_instruction_text,doc_prefix,summary_generator,summary_model_id,summary_prompt_variant,eval_n,old_mrr_at_10,old_r_at_1,old_r_at_5,old_r_at_10,artifact_available,artifact_depth,can_recalculate_from_artifact,needs_model_rerun,notes,source_file
all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,exp_01,all-MiniLM-L6-v2__plain__fable->moral_(augmented),fable->moral (augmented),augmented_moral,{moral_augmented_with_distractors},plain,no_instr,,,,,,510,0.026196,0.011765,0.035294,0.045098,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/baseline_results.json
all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,exp_01,all-MiniLM-L6-v2__plain__moral->fable_(clean),moral->fable (clean),raw,{fable},plain,no_instr,,,,,,709,0.079009,0.043724,0.094499,0.145275,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/baseline_results.json
all-MiniLM-L6-v2,sentence-transformers/all-MiniLM-L6-v2,exp_01,all-MiniLM-L6-v2__plain__fable->moral_(clean),fable->moral (clean),raw_moral,{moral},plain,no_instr,,,,,,709,0.062585,0.033850,0.074753,0.117066,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/baseline_results.json
all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,exp_01,all-mpnet-base-v2__plain__fable->moral_(augmented),fable->moral (augmented),augmented_moral,{moral_augmented_with_distractors},plain,no_instr,,,,,,510,0.025835,0.011765,0.027451,0.047059,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/baseline_results.json
all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,exp_01,all-mpnet-base-v2__plain__moral->fable_(clean),moral->fable (clean),raw,{fable},plain,no_instr,,,,,,709,0.077476,0.032440,0.102962,0.162200,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/baseline_results.json
all-mpnet-base-v2,sentence-transformers/all-mpnet-base-v2,exp_01,all-mpnet-base-v2__plain__fable->moral_(clean),fable->moral (clean),raw_moral,{moral},plain,no_instr,,,,,,709,0.065065,0.026798,0.083216,0.126939,aggregate_only,,no,yes,Early baseline; include only as historical control.,experiments/01_baselines/results/baseline_results.json
bge-base,BAAI/bge-base-en-v1.5,exp_02,bge-base__plain,moral_to_fable,raw,{fable},plain,plain_or_model_native,Represent this sentence for searching relevant passages: ,,,,,709,0.069066,0.033850,0.087447,0.128350,full_rankings,709,yes,no,Raw fable zero-shot sweep.,results/runs/2026-03-15_combined_v2/results.csv
BGE-en-ICL,BAAI/bge-en-icl,exp_11,BGE-en-ICL,moral_to_fable,fable_plus_summary,{fable}\n\nMoral summary: {summary},default,model_default,"Given a moral statement, retrieve the fable that best conveys this moral.\n",,Gemini/Gemma summary field,,existing_summary_field,709,0.319178,0.225670,0.407616,0.490832,full_embeddings,709,yes,no,Fable+summary zero-shot embedding baseline.,experiments/11_embedding_baselines/results/2026-04-27_15-51-52_BGE-en-ICL_Qwen3-Embedding-8B.json
BGE-en-ICL,BAAI/bge-en-icl,exp_12,BGE-en-ICL__fable_abstract__default,moral_to_fable,fable_abstract,{fable}\n\nMoral summary: {conceptual_abstract},default,model_default,"Given a moral statement, retrieve the fable that best conveys this moral.\n",,Gemini,,conceptual_abstract,709,0.323494,0.224260,0.418900,0.493653,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
BGE-en-ICL,BAAI/bge-en-icl,exp_12,BGE-en-ICL__fable_abstract__generic,moral_to_fable,fable_abstract,{fable}\n\nMoral summary: {conceptual_abstract},generic,general,"Instruct: Given a text, retrieve the most relevant passage that answers the query\nQuery: ",,Gemini,,conceptual_abstract,709,0.318651,0.224260,0.423131,0.492243,aggregate_only,,no,yes,,experiments/12_zero_shot_comprehensive/results/zero_shot_comprehensive.csv
