moral_id,moral_text,relevant_fable,ranked_ids,reciprocal_rank,r_at_1,r_at_5,r_at_10,ndcg_at_10,rank,full_rank
moral_0003,In quarreling about the shadow we often lose the substance.,fable_0003,fable_0003|fable_0612|fable_0159|fable_0193|fable_0031|fable_0298|fable_0635|fable_0548|fable_0019|fable_0625,1.0,1.0,1.0,1.0,1.0,1,1
moral_0020,One man's pleasure may be another's pain.,fable_0020,fable_0020|fable_0363|fable_0617|fable_0625|fable_0467|fable_0062|fable_0078|fable_0209|fable_0680|fable_0441,1.0,1.0,1.0,1.0,1.0,1,1
moral_0009,Wit always has an answer ready.,fable_0009,fable_0129|fable_0214|fable_0040|fable_0512|fable_0104|fable_0238|fable_0678|fable_0682|fable_0642|fable_0136,0.0,0.0,0.0,0.0,0.0,,74
moral_0014,Misfortune tests the sincerity of friends.,fable_0014,fable_0694|fable_0014|fable_0702|fable_0053|fable_0280|fable_0597|fable_0398|fable_0066|fable_0348|fable_0299,0.5,0.0,1.0,1.0,0.6309297535714575,2,2
moral_0032,How often do we supply our enemies with the means of our own destruction.,fable_0032,fable_0168|fable_0032|fable_0705|fable_0240|fable_0056|fable_0548|fable_0242|fable_0317|fable_0101|fable_0474,0.5,0.0,1.0,1.0,0.6309297535714575,2,2
moral_0048,Better no rule than cruel rule.,fable_0048,fable_0048|fable_0552|fable_0604|fable_0692|fable_0134|fable_0112|fable_0060|fable_0419|fable_0651|fable_0640,1.0,1.0,1.0,1.0,1.0,1,1
moral_0037,To do the right thing at the right season is a great art.,fable_0037,fable_0288|fable_0214|fable_0458|fable_0217|fable_0138|fable_0375|fable_0179|fable_0129|fable_0654|fable_0036,0.0,0.0,0.0,0.0,0.0,,175
moral_0044,Do not trust flatterers.,fable_0044,fable_0504|fable_0518|fable_0044|fable_0251|fable_0429|fable_0312|fable_0113|fable_0445|fable_0695|fable_0099,0.3333333333333333,0.0,1.0,1.0,0.5,3,3
moral_0025,He who is once deceived is doubly cautious.,fable_0025,fable_0248|fable_0445|fable_0116|fable_0422|fable_0459|fable_0379|fable_0572|fable_0025|fable_0117|fable_0045,0.125,0.0,0.0,1.0,0.31546487678572877,8,8
moral_0031,"He who covets what belongs to another, deservedly loses his own.",fable_0031,fable_0432|fable_0630|fable_0031|fable_0030|fable_0483|fable_0010|fable_0003|fable_0621|fable_0298|fable_0232,0.3333333333333333,0.0,1.0,1.0,0.5,3,3
moral_0027,Little by little does the trick.,fable_0027,fable_0027|fable_0079|fable_0127|fable_0654|fable_0241|fable_0450|fable_0512|fable_0412|fable_0371|fable_0600,1.0,1.0,1.0,1.0,1.0,1,1
moral_0049,Old friends should not be sacrificed for new ones.,fable_0049,fable_0702|fable_0694|fable_0597|fable_0049|fable_0014|fable_0203|fable_0655|fable_0053|fable_0398|fable_0548,0.25,0.0,1.0,1.0,0.43067655807339306,4,4
moral_0038,Union is strength.,fable_0038,fable_0511|fable_0038|fable_0228|fable_0487|fable_0444|fable_0647|fable_0215|fable_0607|fable_0416|fable_0671,0.5,0.0,1.0,1.0,0.6309297535714575,2,2
moral_0043,Flatterers are not to be trusted.,fable_0043,fable_0504|fable_0518|fable_0044|fable_0251|fable_0113|fable_0312|fable_0099|fable_0702|fable_0445|fable_0572,0.0,0.0,0.0,0.0,0.0,,102
moral_0016,Each member in his proper sphere must work for the common good.,fable_0016,fable_0016|fable_0704|fable_0671|fable_0696|fable_0511|fable_0352|fable_0673|fable_0100|fable_0559|fable_0487,1.0,1.0,1.0,1.0,1.0,1,1
moral_0045,Look before you leap.,fable_0045,fable_0393|fable_0375|fable_0045|fable_0662|fable_0098|fable_0426|fable_0566|fable_0303|fable_0188|fable_0497,0.3333333333333333,0.0,1.0,1.0,0.5,3,3
