model_alias,model_hf_id,model_size,instruction_variant,query_instruction,corpus_config,corpus_description,corpus_template,MRR@10,R@1,R@5,R@10,NDCG@10,Mean_Rank,Median_Rank,n_queries,notes
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,,default,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",raw,raw fable text only,{fable},0.095004,0.053597,0.121298,0.167842,0.10238,184.74,113.0,709,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,,default,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.21106,0.12835,0.291961,0.379408,0.239991,94.66,23.0,709,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,,default,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.212461,0.12835,0.293371,0.392102,0.245284,96.75,25.0,709,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,,default,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.207749,0.12835,0.279267,0.373766,0.236004,92.41,25.0,709,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,,default,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.230353,0.156559,0.296192,0.377997,0.255277,108.15,27.0,709,
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,,default,"Instruct: Given a text, retrieve the most relevant passage that answers the query
Query: ",summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.229335,0.142454,0.314528,0.404795,0.260116,92.64,19.0,709,
BGE-en-ICL,BAAI/bge-en-icl,,default,"Given a moral statement, retrieve the fable that best conveys this moral.
",raw,raw fable text only,{fable},0.165869,0.110014,0.214386,0.272214,0.182002,159.2,66.0,709,
BGE-en-ICL,BAAI/bge-en-icl,,default,"Given a moral statement, retrieve the fable that best conveys this moral.
",fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.318431,0.222849,0.409027,0.490832,0.349858,71.53,11.0,709,
BGE-en-ICL,BAAI/bge-en-icl,,default,"Given a moral statement, retrieve the fable that best conveys this moral.
",fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.319882,0.215797,0.435825,0.507757,0.356025,72.1,9.0,709,
BGE-en-ICL,BAAI/bge-en-icl,,default,"Given a moral statement, retrieve the fable that best conveys this moral.
",fable_abstract,fable + conceptual_abstract summary,{fable}\n\nMoral summary: {conceptual_abstract},0.323494,0.22426,0.4189,0.493653,0.355118,71.98,12.0,709,
BGE-en-ICL,BAAI/bge-en-icl,,default,"Given a moral statement, retrieve the fable that best conveys this moral.
",summary_only_cot,cot_proverb summary only (no fable),{cot_proverb},0.289746,0.198872,0.394922,0.459803,0.322476,102.89,15.0,709,
BGE-en-ICL,BAAI/bge-en-icl,,default,"Given a moral statement, retrieve the fable that best conveys this moral.
",summary_fable_cot,"cot_proverb first, then fable (reversed order)",Moral summary: {cot_proverb}\n\n{fable},0.300152,0.205924,0.393512,0.503526,0.340064,78.47,10.0,709,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",raw,raw fable text only,{fable},0.106328,0.052186,0.143865,0.204513,0.119385,154.74,83.0,709,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",fable_cot,fable + cot_proverb summary,{fable}\n\nMoral summary: {cot_proverb},0.263275,0.169252,0.356841,0.449929,0.297083,78.72,14.0,709,
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,,default,"Instruct: Given a moral statement, retrieve the fable that best conveys this moral.
Query: ",fable_direct,fable + direct_moral summary,{fable}\n\nMoral summary: {direct_moral},0.269123,0.172073,0.368124,0.473907,0.308139,76.18,13.0,709,
