model_alias,model_id,instruction_variant,corpus_config,corpus_description,corpus_template,summary_generator,summary_generator_model_id,generator_prompt_variant,exp_id,MAP@10,MRR@10,NDCG@10,Recall@5,Recall@10,Recall@15,Recall@50,Recall@100,Recall@200,Recall@300,Hit@1,Hit@5,Hit@10,Hit@100,run_id,stage_status,error,remote_result_dir
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.170927,0.238539,0.213544,0.220684,0.291916,0.336901,0.509855,0.637475,0.771108,0.861976,0.164671,0.29491,0.371257,0.724551,Linq-Embed-Mistral__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.195737,0.267512,0.246388,0.268937,0.341193,0.387325,0.552146,0.664496,0.779092,0.869611,0.187126,0.348802,0.432635,0.75,Linq-Embed-Mistral__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Linq-Embed-Mistral,Linq-AI-Research/Linq-Embed-Mistral,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.077052,0.132949,0.107437,0.112076,0.157859,0.198827,0.333558,0.471108,0.629042,0.747006,0.080838,0.172156,0.227545,0.562874,Linq-Embed-Mistral__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.135815,0.198389,0.181441,0.19239,0.273328,0.31734,0.485679,0.605863,0.732809,0.8252,0.116766,0.272455,0.359281,0.697605,Qwen3-Embedding-8B__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.164627,0.229004,0.214438,0.226098,0.31729,0.361851,0.558059,0.671707,0.791143,0.873478,0.146707,0.305389,0.41018,0.767964,Qwen3-Embedding-8B__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Qwen3-Embedding-8B,Qwen/Qwen3-Embedding-8B,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.092015,0.137534,0.125872,0.137799,0.196108,0.234082,0.395509,0.522181,0.688398,0.796756,0.071856,0.182635,0.255988,0.609281,Qwen3-Embedding-8B__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Qwen3-Embedding-4B,Qwen/Qwen3-Embedding-4B,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.126438,0.180935,0.161982,0.168962,0.23024,0.275075,0.431312,0.546632,0.689371,0.788398,0.110778,0.23503,0.30988,0.652695,Qwen3-Embedding-4B__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Qwen3-Embedding-4B,Qwen/Qwen3-Embedding-4B,general,raw,Raw fable text only; no generated summary.,{fable},,,,,0.144847,0.212358,0.187772,0.190469,0.269411,0.31754,0.50761,0.618812,0.744536,0.821083,0.139222,0.269461,0.359281,0.708084,Qwen3-Embedding-4B__general__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Qwen3-Embedding-4B,Qwen/Qwen3-Embedding-4B,moral_specific,raw,Raw fable text only; no generated summary.,{fable},,,,,0.102353,0.164208,0.137781,0.152295,0.198728,0.23992,0.392091,0.507111,0.65519,0.756911,0.098802,0.22006,0.284431,0.595808,Qwen3-Embedding-4B__moral_specific__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
Qwen3-Embedding-0.6B,Qwen/Qwen3-Embedding-0.6B,no_instr,raw,Raw fable text only; no generated summary.,{fable},,,,,0.083611,0.123384,0.109387,0.126048,0.164022,0.197655,0.345309,0.494361,0.655464,0.766492,0.068862,0.163174,0.217066,0.592814,Qwen3-Embedding-0.6B__no_instr__raw,completed,,/data/lior/final_zero_shot/phase_1_raw_instruction_sweep/results/2026-05-17_21-20-42
